#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHCTF1	CCNB2	9606.ENSP00000355465	9606.ENSP00000288207	0	0	0	0	0.062	0	0.400	0.066	0.428
ATP5MGL	UQCRFS1	9606.ENSP00000421076	9606.ENSP00000306397	0	0	0	0	0.292	0.095	0	0.262	0.486
ATP5MGL	NDUFB3	9606.ENSP00000421076	9606.ENSP00000407336	0	0	0	0	0.351	0	0	0.151	0.425
CCNB2	PLK3	9606.ENSP00000288207	9606.ENSP00000361275	0	0	0	0	0.359	0.278	0	0.251	0.623
CCT8L2	SDF2L1	9606.ENSP00000353048	9606.ENSP00000248958	0	0	0	0	0	0	0.540	0	0.540
CCT8L2	HSPD1	9606.ENSP00000353048	9606.ENSP00000340019	0	0	0	0	0.244	0.311	0.178	0.294	0.657
CEBPZ	NOL11	9606.ENSP00000234170	9606.ENSP00000253247	0	0	0	0	0.436	0	0	0	0.436
CEBPZ	RRP12	9606.ENSP00000234170	9606.ENSP00000446184	0	0	0	0	0.905	0.468	0	0.489	0.972
CHCHD3	UQCRFS1	9606.ENSP00000389297	9606.ENSP00000306397	0	0	0	0	0.221	0.097	0	0.262	0.435
CHCHD3	HSPD1	9606.ENSP00000389297	9606.ENSP00000340019	0	0	0	0	0.197	0	0.500	0.093	0.604
CLEC12A	HK3	9606.ENSP00000347916	9606.ENSP00000292432	0	0	0	0	0.425	0	0	0.064	0.438
CNR1	GNG13	9606.ENSP00000358513	9606.ENSP00000248150	0	0	0	0	0.084	0.120	0.650	0	0.693
CNR1	GNG8	9606.ENSP00000358513	9606.ENSP00000300873	0	0	0	0	0	0.120	0.650	0	0.678
CNR1	HCAR2	9606.ENSP00000358513	9606.ENSP00000375066	0	0	0	0	0	0	0.500	0.074	0.517
CPT1A	ESRRA	9606.ENSP00000265641	9606.ENSP00000384851	0	0	0	0	0.047	0.045	0	0.394	0.400
CPT1A	MAP1LC3B	9606.ENSP00000265641	9606.ENSP00000498476	0	0	0	0	0	0	0	0.477	0.477
CTSL	MMP3	9606.ENSP00000345344	9606.ENSP00000299855	0	0	0	0	0.098	0	0.400	0.339	0.611
CTSL	CXCL8	9606.ENSP00000345344	9606.ENSP00000306512	0	0	0	0	0.098	0	0	0.370	0.407
CTSL	MAP1LC3B	9606.ENSP00000345344	9606.ENSP00000498476	0	0	0	0	0.070	0	0	0.441	0.458
CXCL8	PPP1R15A	9606.ENSP00000306512	9606.ENSP00000200453	0	0	0	0	0.270	0	0	0.224	0.409
CXCL8	NFKBIA	9606.ENSP00000306512	9606.ENSP00000216797	0	0	0	0	0.450	0	0	0.803	0.887
CXCL8	RELB	9606.ENSP00000306512	9606.ENSP00000221452	0	0	0	0	0.138	0	0	0.570	0.613
CXCL8	TNFSF8	9606.ENSP00000306512	9606.ENSP00000223795	0	0	0	0	0.097	0	0	0.703	0.720
CXCL8	FOSB	9606.ENSP00000306512	9606.ENSP00000245919	0	0	0	0	0.161	0	0	0.350	0.431
