preferredName,log2FC_abs,log2FC_is_negative
CDH2,0.563672,1
KHDC1L,0.726382,1
LRRC69,1.23659,1
TSTD1,0.653015,1
ZNF717,0.525061,1
CD24,0.861971,1
SRRM5,0.695878,1
ABCB6,0.579337,1
ARL4A,0.690031,0
CD96,0.887291,1
CDKN1A,0.740203,0
NMUR1,0.529568,1
CD52,0.500206,1
EMG1,0.56655,1
CEACAM5,0.600493,1
IFI44,0.69913,0
COLEC10,0.715289,0
RASL10A,0.589759,1
EDDM3A,0.659937,1
IFI44L,1.4677,0
UPK1A,0.700163,1
STMN2,0.5907,1
ZWINT,0.562971,1
IL1RAPL1,0.544461,1
NUDT6,0.655959,1
MAP4K1,0.529698,1
KLF8,0.615376,1
ZIM3,1.11228,1
MRFAP1L1,0.545027,1
SLC26A9,0.73122,1
FCRL3,1.01143,1
GBP4,0.555221,0
CKM,0.83783,1
ABHD15,0.591767,1
ACSM1,0.787024,1
C8orf34,0.639068,1
MRGPRF,1.31514,1
RPL39L,0.792059,1
MUCL1,0.505231,1
LARGE2,0.593776,1
FOXN4,0.546064,1
CLBA1,0.724305,1
ACOT4,0.901936,1
CCR5,0.886158,1
CCDC78,0.754781,1
MIEF2,1.33673,1
CLDND2,0.776495,1
C1orf194,0.51391,1
CMPK2,0.691001,0
SPIN4,0.500204,1
ANKRD60,0.523527,1
CSF3,0.870599,1
FAM216B,0.737981,1
CARMIL2,0.551641,1
RTN4RL1,0.970136,1
SLFN13,0.913509,1
CCBE1,0.500501,1
CDC42EP5,1.09321,0
HJV,1.00041,1
CCDC27,1.35145,1
KNCN,1.06217,1
LRRC71,0.898462,1
PNPLA5,0.690228,0
CTRB1,0.710602,0
KLHL23,0.568985,1
PP2D1,1.08184,1
MARVELD2,0.635819,1
CCDC167,0.852665,1
RUNDC3B,0.913291,1
AMOT,0.685587,1
PRAG1,0.571999,1
KIAA1958,0.595809,0
DGKB,0.617074,1
MDGA2,0.893901,1
C16orf82,0.950573,1
PHOSPHO1,1.27936,1
FBXO39,0.538659,1
ELOA3,0.704619,1
ZNF296,0.81536,1
DCX,0.629849,1
UBL4B,0.609008,1
AKR1C2,0.533307,1
SPTSSB,0.97526,1
ZNF366,0.692702,1
TIMM8A,0.515189,1
ZCCHC12,0.550621,1
SEPTIN1,0.669523,1
DNMT3B,1.03658,0
E2F6,0.694935,1
METTL21C,0.594638,1
TXLNA,0.806047,1
ERICH5,0.879019,1
CT83,0.596731,1
EPHA3,0.643325,1
PDILT,0.745267,1
EPS8,0.586879,1
ETV4,0.543486,1
FANCF,0.625885,1
FANCG,0.692209,1
TMEM26,1.26115,1
SPATA19,0.626429,1
FCGR1A,0.535407,0
FCGR1B,0.5434,0
GPRC6A,1.11074,1
UNC5CL,0.650789,0
FEN1,0.539653,1
FGF9,0.761296,1
SORCS3,0.79261,1
TTC39A,0.583464,1
ATP10B,0.622144,1
N4BP3,0.623881,1
ANKRD28,0.505474,0
KIF13B,0.901743,1
ESYT1,0.538917,1
SYNE1,0.657178,1
LARS2,0.586785,1
GSPT2,0.69536,1
FSHR,1.07051,1
G6PC,0.692793,1
CT47A4,0.707218,1
COL6A5,0.512411,1
SCML4,0.659098,1
NCR3,1.2296,1
MYRIP,0.502174,1
NOL11,0.503471,1
IL4I1,0.628537,0
NECTIN3,0.510332,0
PYGO1,0.624375,1
FBXO5,0.511085,1
GBP1,0.82818,0
GCKR,0.726772,1
OR2W1,0.97967,1
GFI1,0.6473,1
AMPD1,0.792329,1
ZNF777,0.529692,1
TEKT2,0.900229,0
GLI1,0.908893,1
BIN1,0.599226,1
GNGT1,1.00144,1
XCR1,0.573366,1
JAKMIP3,1.01495,1
CDH20,0.592857,1
OR8D2,1.02422,1
CXCR3,0.583575,1
OR4N4,0.517599,1
MEIOC,0.594626,1
DCAF4L1,1.10861,0
PPIL6,0.560064,1
SLC25A4,0.650982,1
PRSS50,0.740465,1
GRP,0.944689,1
YPEL1,0.592377,1
GMPPB,0.520602,1
HAS1,0.785774,1
HCRTR2,1.31851,1
ERVW-1,0.783979,0
NRG1,0.56395,0
HMMR,0.528806,1
RFESD,0.579529,1
HSD17B3,1.15,0
APLP1,0.563751,1
HSPG2,0.596317,0
HTR5A,0.945536,1
IAPP,1.50679,1
ICAM4,0.549433,1
ID1,1.50397,0
WDR97,0.813767,0
BEX5,0.776141,1
VSIG1,0.667568,1
ZKSCAN2,0.535198,1
IFNA4,1.21007,0
IFNA7,0.550662,0
ZFP57,0.523915,1
TUBB2B,0.678072,1
SLC6A18,1.27051,1
IL13,0.771573,1
PRAC2,0.721198,0
CXCL10,0.964747,0
INSRR,0.649574,1
ISL1,1.10344,0
ITGB7,0.563915,1
ITPA,0.664331,1
DRAXIN,0.513895,1
