MoleculeType	Identifier	MoleculeName	
Proteins	Q92731	UniProt:Q92731 ESR2	
Proteins	P03372	UniProt:P03372 ESR1	
Proteins	P08238	UniProt:P08238 HSP90AB1	
Proteins	P07900	UniProt:P07900 HSP90AA1	
Proteins	Q15185	UniProt:Q15185 PTGES3	
Proteins	Q02790	UniProt:Q02790 FKBP4	
Proteins	P53041	UniProt:P53041 PPP5C	
Proteins	Q13451	UniProt:Q13451 FKBP5	
Proteins	Q08752	UniProt:Q08752 PPID	
Proteins	O43815	UniProt:O43815 STRN	
Proteins	P03372-4	UniProt:P03372-4 ESR1	
Proteins	P03372-3	UniProt:P03372-3 ESR1	
Proteins	P51636	UniProt:P51636 CAV2	
Proteins	Q03135	UniProt:Q03135 CAV1	
Proteins	P31751	UniProt:P31751 AKT2	
Proteins	Q9Y243	UniProt:Q9Y243 AKT3	
Proteins	P31749	UniProt:P31749 AKT1	
Proteins	P16220-1	UniProt:P16220-1 CREB1	
Proteins	P11831	UniProt:P11831 SRF	
Proteins	P19419	UniProt:P19419 ELK1	
Proteins	Q8TAS1	UniProt:Q8TAS1 UHMK1	
Proteins	P46527	UniProt:P46527 CDKN1B	
Proteins	P28482	UniProt:P28482 MAPK1	
Proteins	P27361	UniProt:P27361 MAPK3	
Proteins	P24385	UniProt:P24385 CCND1	
Proteins	P01100	UniProt:P01100 FOS	
Proteins	Q05397	UniProt:Q05397 PTK2	
Proteins	Q99075	UniProt:Q99075 HBEGF	
Proteins	O14944	UniProt:O14944 EREG	
Proteins	P01133	UniProt:P01133 EGF	
Proteins	P01135	UniProt:P01135 TGFA	
Proteins	Q6UW88	UniProt:Q6UW88 EPGN	
Proteins	P35070	UniProt:P35070 BTC	
Proteins	P15514	UniProt:P15514 AREG	
Proteins	P00533	UniProt:P00533 EGFR	
Proteins	O14980	UniProt:O14980 XPO1	
Proteins	O43524	UniProt:O43524 FOXO3	
Proteins	P10415	UniProt:P10415 BCL2	
Proteins	Q9NXF8	UniProt:Q9NXF8 ZDHHC7	
Proteins	Q8IVQ6	UniProt:Q8IVQ6 ZDHHC21	
Proteins	P04792	UniProt:P04792 HSPB1	
Proteins	P01116-2	UniProt:P01116-2 KRAS	
Proteins	P01111	UniProt:P01111 NRAS	
Proteins	P01116-1	UniProt:P01116-1 KRAS	
Proteins	P01112	UniProt:P01112 HRAS	
Proteins	Q05513	UniProt:Q05513 PRKCZ	
Proteins	O15530	UniProt:O15530 PDPK1	
Proteins	P12931	UniProt:P12931 SRC	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	Q92569	UniProt:Q92569 PIK3R3	
Proteins	O00459	UniProt:O00459 PIK3R2	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	P62879	UniProt:P62879 GNB2	
Proteins	Q9HAV0	UniProt:Q9HAV0 GNB4	
Proteins	O14775	UniProt:O14775 GNB5	
Proteins	P16520	UniProt:P16520 GNB3	
Proteins	P62873	UniProt:P62873 GNB1	
Proteins	Q9UK08	UniProt:Q9UK08 GNG8	
Proteins	O14610	UniProt:O14610 GNGT2	
Proteins	P63211	UniProt:P63211 GNGT1	
Proteins	O60262	UniProt:O60262 GNG7	
Proteins	Q9P2W3	UniProt:Q9P2W3 GNG13	
Proteins	P63215	UniProt:P63215 GNG3	
Proteins	P50151	UniProt:P50151 GNG10	
Proteins	P61952	UniProt:P61952 GNG11	
Proteins	P50150	UniProt:P50150 GNG4	
Proteins	P63218	UniProt:P63218 GNG5	
Proteins	Q9UBI6	UniProt:Q9UBI6 GNG12	
Proteins	P59768	UniProt:P59768 GNG2	
Proteins	P08754	UniProt:P08754 GNAI3	
Proteins	P63096	UniProt:P63096 GNAI1	
Proteins	P04899	UniProt:P04899 GNAI2	
Proteins	A8MTJ3	UniProt:A8MTJ3 GNAT3	
Proteins	P0DP23	UniProt:P0DP23 CALM1	
Proteins	P29474	UniProt:P29474 NOS3	
Proteins	P08069	UniProt:P08069 IGF1R	
Proteins	P29353-2	UniProt:P29353-2 SHC1	
Proteins	P29353-1	UniProt:P29353-1 SHC1	
Proteins	P29353-3	UniProt:P29353-3 SHC1	
Proteins	Q99500	UniProt:Q99500 S1PR3	
Proteins	Q9NYA1	UniProt:Q9NYA1 SPHK1	
Proteins	Q99873	UniProt:Q99873 PRMT1	
Proteins	P08253	UniProt:P08253 MMP2	
Proteins	P14780	UniProt:P14780 MMP9	
Proteins	P09237	UniProt:P09237 MMP7	
Proteins	P08254	UniProt:P08254 MMP3	
Proteins	Q4ZG55	UniProt:Q4ZG55 GREB1	
Proteins	Q09472	UniProt:Q09472 EP300	
Proteins	Q92793	UniProt:Q92793 CREBBP	
Proteins	Q99879	UniProt:Q99879 H2BC14	
Proteins	Q96A08	UniProt:Q96A08 H2BC1	
Proteins	P58876	UniProt:P58876 H2BC5	
Proteins	Q93079	UniProt:Q93079 H2BC9	
Proteins	Q16778	UniProt:Q16778 H2BC21	
Proteins	P23527	UniProt:P23527 H2BC17	
Proteins	P57053	UniProt:P57053 H2BC12L	
Proteins	Q99877	UniProt:Q99877 H2BC15	
Proteins	P62807	UniProt:P62807 H2BC4	
