MoleculeType	Identifier	MoleculeName	
Chemical Compounds	30616	ATP(4-) [ChEBI:30616]	
Chemical Compounds	456216	ADP(3-) [ChEBI:456216]	
Chemical Compounds	43474	hydrogenphosphate [ChEBI:43474]	
Chemical Compounds	58189	GDP(3-) [ChEBI:58189]	
Chemical Compounds	37565	GTP(4-) [ChEBI:37565]	
Chemical Compounds	28815	heparan sulfate [ChEBI:28815]	
Chemical Compounds	58456	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate(5-) [ChEBI:58456]	
Chemical Compounds	57836	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [ChEBI:57836]	
Chemical Compounds	58165	3',5'-cyclic AMP(1-) [ChEBI:58165]	
Chemical Compounds	15377	water [ChEBI:15377]	
Chemical Compounds	456215	adenosine 5'-monophosphate(2-) [ChEBI:456215]	
Chemical Compounds	15378	hydron [ChEBI:15378]	
Chemical Compounds	29105	zinc(2+) [ChEBI:29105]	
Proteins	P01308	UniProt:P01308 INS	
Proteins	P06213	UniProt:P06213 INSR	
Proteins	P62993-1	UniProt:P62993-1 GRB2	
Proteins	Q07889	UniProt:Q07889 SOS1	
Proteins	P29353	UniProt:P29353 SHC1	
Proteins	Q13322	UniProt:Q13322 GRB10	
Proteins	P35568	UniProt:P35568 IRS1	
Proteins	Q9Y4H2	UniProt:Q9Y4H2 IRS2	
Proteins	P28482	UniProt:P28482 MAPK1	
Proteins	P27361	UniProt:P27361 MAPK3	
Proteins	P01116-2	UniProt:P01116-2 KRAS	
Proteins	P01111	UniProt:P01111 NRAS	
Proteins	P01116-1	UniProt:P01116-1 KRAS	
Proteins	P01112	UniProt:P01112 HRAS	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	O00459	UniProt:O00459 PIK3R2	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	P42338	UniProt:P42338 PIK3CB	
Proteins	Q13480	UniProt:Q13480 GAB1	
Proteins	O95750	UniProt:O95750 FGF19	
Proteins	P22455	UniProt:P22455 FGFR4	
Proteins	Q86Z14	UniProt:Q86Z14 KLB	
Proteins	P08620	UniProt:P08620 FGF4	
Proteins	P05230	UniProt:P05230 FGF1	
Proteins	O76093	UniProt:O76093 FGF18	
Proteins	Q9NP95	UniProt:Q9NP95 FGF20	
Proteins	P55075-1	UniProt:P55075-1 FGF8	
Proteins	Q9GZV9	UniProt:Q9GZV9 FGF23	
Proteins	P09038	UniProt:P09038 FGF2	
Proteins	O60258-1	UniProt:O60258-1 FGF17	
Proteins	P31371	UniProt:P31371 FGF9	
Proteins	O43320	UniProt:O43320 FGF16	
Proteins	P12034-1	UniProt:P12034-1 FGF5	
