#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAP2	TBC1D10B	9606.ENSP00000324287	9606.ENSP00000386538	0	0	0	0	0.067	0	0	0.495	0.509
ACSL4	HMOX1	9606.ENSP00000339787	9606.ENSP00000216117	0	0	0	0	0	0	0	0.419	0.418
ACSL4	SCD5	9606.ENSP00000339787	9606.ENSP00000316329	0	0.001	0	0	0.133	0.107	0	0.413	0.506
ACSL4	SOAT1	9606.ENSP00000339787	9606.ENSP00000356591	0	0	0	0	0.078	0	0	0.406	0.429
ACY1	LTF	9606.ENSP00000384296	9606.ENSP00000231751	0	0	0	0	0	0	0	0.553	0.553
ACY1	ALAS1	9606.ENSP00000384296	9606.ENSP00000378416	0	0	0	0	0.060	0	0	0.573	0.581
ADAM17	MMP8	9606.ENSP00000309968	9606.ENSP00000236826	0	0	0	0	0	0	0	0.471	0.471
ADAM17	ADAMTS5	9606.ENSP00000309968	9606.ENSP00000284987	0	0	0	0	0	0	0	0.400	0.400
ADAM17	CTNNB1	9606.ENSP00000309968	9606.ENSP00000495360	0	0	0	0	0.055	0	0	0.407	0.415
ADAM17	BSG	9606.ENSP00000309968	9606.ENSP00000333769	0	0	0	0	0	0	0	0.444	0.444
ADAM17	IDO1	9606.ENSP00000309968	9606.ENSP00000430950	0	0	0	0	0.042	0	0	0.527	0.527
ADAM17	AKT1	9606.ENSP00000309968	9606.ENSP00000451828	0	0	0	0	0	0	0	0.556	0.556
ADAM17	APH1A	9606.ENSP00000309968	9606.ENSP00000358105	0	0	0	0	0.049	0	0	0.578	0.581
ADAM17	ADAM9	9606.ENSP00000309968	9606.ENSP00000419446	0	0	0	0.564	0.072	0	0	0.633	0.644
ADAM17	RHBDF2	9606.ENSP00000309968	9606.ENSP00000322775	0	0	0	0	0.074	0.243	0.750	0.931	0.986
ADAM9	APH1A	9606.ENSP00000419446	9606.ENSP00000358105	0	0	0	0	0	0	0	0.476	0.476
ADAMTS5	MMP8	9606.ENSP00000284987	9606.ENSP00000236826	0	0	0	0	0.054	0.045	0	0.468	0.477
ADAMTS5	HDAC4	9606.ENSP00000284987	9606.ENSP00000264606	0	0	0	0	0.055	0.053	0	0.514	0.527
ADAMTS5	CTNNB1	9606.ENSP00000284987	9606.ENSP00000495360	0	0	0	0	0	0	0	0.423	0.423
ADRB2	NFKBIA	9606.ENSP00000305372	9606.ENSP00000216797	0	0	0	0	0.057	0.045	0	0.529	0.538
ADRB2	PPIG	9606.ENSP00000305372	9606.ENSP00000260970	0	0	0	0	0	0.046	0	0.464	0.466
ADRB2	ANXA6	9606.ENSP00000305372	9606.ENSP00000346550	0	0	0	0	0.042	0	0	0.409	0.409
ADRB2	PDE4B	9606.ENSP00000305372	9606.ENSP00000342637	0	0	0	0	0.063	0.071	0	0.398	0.431
ADRB2	FZD2	9606.ENSP00000305372	9606.ENSP00000323901	0	0	0	0	0.056	0	0	0.431	0.440
ADRB2	APH1A	9606.ENSP00000305372	9606.ENSP00000358105	0	0	0	0	0	0	0	0.458	0.457
ADRB2	FLNA	9606.ENSP00000305372	9606.ENSP00000358866	0	0	0	0	0	0.041	0	0.479	0.479
ADRB2	ERBIN	9606.ENSP00000305372	9606.ENSP00000426632	0	0	0	0	0.044	0	0	0.490	0.491
ADRB2	UBQLN2	9606.ENSP00000305372	9606.ENSP00000345195	0	0	0	0	0	0	0.500	0.076	0.518
ADRB2	AKT1	9606.ENSP00000305372	9606.ENSP00000451828	0	0	0	0	0.085	0	0	0.654	0.669
ADRB2	AP2B1	9606.ENSP00000305372	9606.ENSP00000483185	0	0	0	0	0	0	0.500	0.525	0.752
ADRB2	BSG	9606.ENSP00000305372	9606.ENSP00000333769	0	0	0	0	0	0.091	0	0.768	0.780
ADSS2	CTBP1	9606.ENSP00000355493	9606.ENSP00000290921	0.102	0	0	0	0.047	0.250	0	0.303	0.493
AIM2	RIPK2	9606.ENSP00000357112	9606.ENSP00000220751	0	0	0	0	0.054	0	0	0.574	0.580
AIM2	CAMP	9606.ENSP00000357112	9606.ENSP00000296435	0	0	0	0	0.094	0	0	0.379	0.413
AIM2	ASTE1	9606.ENSP00000357112	9606.ENSP00000426421	0	0	0	0	0.049	0	0	0.420	0.424
AIM2	BCL10	9606.ENSP00000357112	9606.ENSP00000498104	0	0	0	0	0.088	0	0	0.582	0.602
AKT1	SLC2A3	9606.ENSP00000451828	9606.ENSP00000075120	0	0	0	0	0.067	0.072	0	0.531	0.559
AKT1	SIRT1	9606.ENSP00000451828	9606.ENSP00000212015	0	0	0	0	0.049	0.294	0	0.827	0.873
AKT1	HMOX1	9606.ENSP00000451828	9606.ENSP00000216117	0	0	0	0	0.042	0.087	0	0.786	0.796
AKT1	GZMB	9606.ENSP00000451828	9606.ENSP00000216341	0	0	0	0	0.047	0.096	0	0.480	0.512
AKT1	PYGL	9606.ENSP00000451828	9606.ENSP00000216392	0	0	0	0	0.049	0.074	0	0.379	0.406
AKT1	NFKBIA	9606.ENSP00000451828	9606.ENSP00000216797	0	0	0	0	0	0.331	0	0.784	0.849
AKT1	CTSD	9606.ENSP00000451828	9606.ENSP00000236671	0	0	0	0	0.072	0.060	0	0.454	0.482
AKT1	FLT3	9606.ENSP00000451828	9606.ENSP00000241453	0	0	0	0	0.056	0.074	0	0.664	0.680
AKT1	FOSB	9606.ENSP00000451828	9606.ENSP00000245919	0	0	0	0	0.060	0.096	0	0.586	0.617
AKT1	KLF2	9606.ENSP00000451828	9606.ENSP00000248071	0	0	0	0	0.074	0.071	0	0.485	0.518
AKT1	HSPB1	9606.ENSP00000451828	9606.ENSP00000248553	0	0	0	0	0.050	0.782	0	0.963	0.991
AKT1	CD68	9606.ENSP00000451828	9606.ENSP00000250092	0	0	0	0	0.067	0	0	0.524	0.537
AKT1	JUND	9606.ENSP00000451828	9606.ENSP00000252818	0	0	0	0	0.060	0.085	0	0.416	0.454
AKT1	PPIG	9606.ENSP00000451828	9606.ENSP00000260970	0	0	0	0	0.049	0.117	0	0.420	0.471
AKT1	HDAC4	9606.ENSP00000451828	9606.ENSP00000264606	0	0	0	0	0.074	0.068	0	0.501	0.531
AKT1	GOLPH3	9606.ENSP00000451828	9606.ENSP00000265070	0	0	0	0	0.081	0.071	0	0.380	0.424
AKT1	APPL1	9606.ENSP00000451828	9606.ENSP00000288266	0	0	0	0	0.049	0.733	0	0.977	0.993
AKT1	ELMO2	9606.ENSP00000451828	9606.ENSP00000290246	0	0	0	0	0.049	0	0	0.584	0.587
AKT1	CTBP1	9606.ENSP00000451828	9606.ENSP00000290921	0	0	0	0	0.165	0.304	0	0.340	0.583
AKT1	NCKAP1L	9606.ENSP00000451828	9606.ENSP00000293373	0	0	0	0	0.042	0.092	0	0.425	0.456
AKT1	DEF6	9606.ENSP00000451828	9606.ENSP00000319831	0	0	0	0	0.059	0.066	0	0.502	0.524
AKT1	MAP1S	9606.ENSP00000451828	9606.ENSP00000325313	0	0	0	0	0.063	0.076	0	0.571	0.596
AKT1	PMAIP1	9606.ENSP00000451828	9606.ENSP00000326119	0	0	0	0	0	0	0	0.581	0.581
AKT1	BSG	9606.ENSP00000451828	9606.ENSP00000333769	0	0	0	0	0.103	0.081	0	0.475	0.529
AKT1	ZFP36L1	9606.ENSP00000451828	9606.ENSP00000337386	0	0	0	0	0	0.303	0.750	0.205	0.849
AKT1	PKN1	9606.ENSP00000451828	9606.ENSP00000343325	0	0	0	0.866	0.085	0.325	0	0.454	0.633
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0	0.082	0.744	0.095	0.918	0.900	0.926	0.999
AKT1	RAC1	9606.ENSP00000451828	9606.ENSP00000348461	0	0	0	0	0.114	0.342	0.500	0.591	0.865
AKT1	CREB5	9606.ENSP00000451828	9606.ENSP00000350359	0	0	0	0	0.060	0.096	0.650	0.192	0.727
AKT1	MSN	9606.ENSP00000451828	9606.ENSP00000353408	0	0	0	0	0.056	0.044	0	0.545	0.554
AKT1	MAP3K3	9606.ENSP00000451828	9606.ENSP00000354927	0	0	0	0.614	0.128	0.070	0	0.701	0.736
AKT1	NIBAN1	9606.ENSP00000451828	9606.ENSP00000356481	0	0	0	0	0.073	0.313	0	0.153	0.413
AKT1	PLEKHO1	9606.ENSP00000451828	9606.ENSP00000358120	0	0	0	0	0.058	0.292	0	0.504	0.640
AKT1	H2BC21	9606.ENSP00000451828	9606.ENSP00000358151	0	0	0	0	0	0.294	0	0.418	0.572
AKT1	FLNA	9606.ENSP00000451828	9606.ENSP00000358866	0	0	0	0	0.178	0.071	0	0.808	0.840
AKT1	NFKB2	9606.ENSP00000451828	9606.ENSP00000358983	0	0	0	0	0.079	0.095	0	0.630	0.665
AKT1	LCN2	9606.ENSP00000451828	9606.ENSP00000362108	0	0	0	0	0	0	0	0.419	0.418
