proteína,gene
Proto-oncogene tyrosine-protein kinase receptor Ret,RET
Serine-protein kinase ATM,ATM
Monoglyceride lipase,MGLL
Farnesyl pyrophosphate synthase,FDPS
Casein kinase II subunit alpha,CSNK2A1
Urokinase-type plasminogen activator,PLAU
Protein kinase C zeta type,PRKCZ
D(2) dopamine receptor,DRD2
Non-receptor tyrosine-protein kinase TYK2,TYK2
Serine/threonine-protein kinase Chk2,CHEK2
Hepatocyte growth factor receptor,MET
Cathepsin D,CTSD
Mitogen-activated protein kinase 3,MAPK3
Peroxisome proliferator-activated receptor delta,PPARD
Glycogen synthase kinase-3 alpha,GSK3A
Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1
Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G
Tyrosinase,TYR
Mitogen-activated protein kinase 1,MAPK1
DNA-dependent protein kinase catalytic subunit,PRKDC
Epidermal growth factor receptor,EGFR
"Dihydroorotate dehydrogenase (quinone), mitochondrial",DHODH
High affinity nerve growth factor receptor,NTRK1
Serine/threonine-protein kinase PLK1,PLK1
Serine/threonine-protein kinase Nek2,NEK2
Peroxisome proliferator-activated receptor alpha,PPARA
Geranylgeranyl pyrophosphate synthase,GGPS1
RAC-beta serine/threonine-protein kinase,AKT2
Focal adhesion kinase 1,PTK2
Serine/threonine-protein kinase PAK 1,PAK1
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",PDE10A
Carbonic anhydrase 1,CA1
Sodium-dependent dopamine transporter,SLC6A3
Tyrosine-protein kinase JAK1,JAK1
ALK tyrosine kinase receptor,ALK
Mu-type opioid receptor,OPRM1
Tyrosine-protein phosphatase non-receptor type 11,PTPN11
"cGMP-dependent 3',5'-cyclic phosphodiesterase",PDE2A
Dual specificity tyrosine-phosphorylation-regulated kinase 1A,DYRK1A
"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A",PDE7A
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",DOT1L
"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",PDE3A
Bifunctional epoxide hydrolase 2,EPHX2
Ribosomal protein S6 kinase alpha-3,RPS6KA3
Androgen receptor,AR
Heat shock protein HSP 90-alpha,HSP90AA1
Protein kinase C iota type,PRKCI
Receptor-type tyrosine-protein kinase FLT3,FLT3
Kallikrein-1,KLK1
Angiotensin-converting enzyme,ACE
Tyrosine-protein kinase receptor UFO,AXL
Neuronal acetylcholine receptor subunit alpha-7,CHRNA7
"Cytochrome P450 11B1, mitochondrial",CYP11B1
"Indoleamine 2,3-dioxygenase 1",IDO1
Amine oxidase [copper-containing] 3,AOC3
Sodium-dependent noradrenaline transporter,SLC6A2
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PIK3CD
Serine/threonine-protein kinase ATR,ATR
Voltage-dependent T-type calcium channel subunit alpha-1H,CACNA1H
