MoleculeType	Identifier	MoleculeName	
Proteins	P22455	UniProt:P22455 FGFR4	
Proteins	P08620	UniProt:P08620 FGF4	
Proteins	P05230	UniProt:P05230 FGF1	
Proteins	O95750	UniProt:O95750 FGF19	
Proteins	O76093	UniProt:O76093 FGF18	
Proteins	Q9NP95	UniProt:Q9NP95 FGF20	
Proteins	P55075-1	UniProt:P55075-1 FGF8	
Proteins	Q9GZV9	UniProt:Q9GZV9 FGF23	
Proteins	P09038	UniProt:P09038 FGF2	
Proteins	O60258-1	UniProt:O60258-1 FGF17	
Proteins	P10767	UniProt:P10767 FGF6	
Proteins	P31371	UniProt:P31371 FGF9	
Proteins	O43320	UniProt:O43320 FGF16	
Proteins	Q86Z14	UniProt:Q86Z14 KLB	
Proteins	P19174	UniProt:P19174 PLCG1	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	Q8WU20	UniProt:Q8WU20 FRS2	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	Q13480	UniProt:Q13480 GAB1	
Proteins	P62993-1	UniProt:P62993-1 GRB2	
Proteins	Q06124	UniProt:Q06124 PTPN11	
Proteins	P29353-2	UniProt:P29353-2 SHC1	
Proteins	P29353-3	UniProt:P29353-3 SHC1	
Proteins	Q07889	UniProt:Q07889 SOS1	
Proteins	P01116-2	UniProt:P01116-2 KRAS	
Proteins	P01111	UniProt:P01111 NRAS	
Proteins	P01116-1	UniProt:P01116-1 KRAS	
Proteins	P01112	UniProt:P01112 HRAS	
Proteins	O43559	UniProt:O43559 FRS3	
Proteins	P27361	UniProt:P27361 MAPK3	
Proteins	P28482	UniProt:P28482 MAPK1	
Proteins	P22681	UniProt:P22681 CBL	
Proteins	P0CG48	UniProt:P0CG48 UBC	
Proteins	P0CG47	UniProt:P0CG47 UBB	
Proteins	P62987	UniProt:P62987 UBA52	
Proteins	P62979	UniProt:P62979 RPS27A	
Proteins	Q9BUB5	UniProt:Q9BUB5 MKNK1	
Proteins	P67775	UniProt:P67775 PPP2CA	
Proteins	P62714	UniProt:P62714 PPP2CB	
Proteins	P30153	UniProt:P30153 PPP2R1A	
Proteins	O43597	UniProt:O43597 SPRY2	
Proteins	P15056	UniProt:P15056 BRAF	
Proteins	P12931-1	UniProt:P12931-1 SRC	
Proteins	P12034-1	UniProt:P12034-1 FGF5	
Proteins	P22607-1	UniProt:P22607-1 FGFR3	
Proteins	P22607-2	UniProt:P22607-2 FGFR3	
Proteins	Q14435	UniProt:Q14435 GALNT3	
Proteins	P21802-1	UniProt:P21802-1 FGFR2	
Proteins	P21802-5	UniProt:P21802-5 FGFR2	
Proteins	P21802-18	UniProt:P21802-18 FGFR2	
Proteins	Q9HCT0	UniProt:Q9HCT0 FGF22	
Proteins	P11487	UniProt:P11487 FGF3	
Proteins	P21781	UniProt:P21781 FGF7	
Proteins	O15520	UniProt:O15520 FGF10	
Proteins	P21802-3	UniProt:P21802-3 FGFR2	
Proteins	Q8TAT2	UniProt:Q8TAT2 FGFBP3	
Proteins	Q9BYJ0	UniProt:Q9BYJ0 FGFBP2	
Proteins	Q14512	UniProt:Q14512 FGFBP1	
Proteins	P52298	UniProt:P52298 NCBP2	
Proteins	Q09161	UniProt:Q09161 NCBP1	
Proteins	P35269	UniProt:P35269 GTF2F1	
Proteins	P13984	UniProt:P13984 GTF2F2	
Proteins	P30876	UniProt:P30876 POLR2B	
Proteins	P19388	UniProt:P19388 POLR2E	
Proteins	P53803	UniProt:P53803 POLR2K	
Proteins	P19387	UniProt:P19387 POLR2C	
Proteins	P62875	UniProt:P62875 POLR2L	
Proteins	P52434	UniProt:P52434 POLR2H	
Proteins	P61218	UniProt:P61218 POLR2F	
Proteins	O15514	UniProt:O15514 POLR2D	
Proteins	P36954	UniProt:P36954 POLR2I	
Proteins	P52435	UniProt:P52435 POLR2J	
Proteins	P62487	UniProt:P62487 POLR2G	
Proteins	P24928	UniProt:P24928 POLR2A	
Proteins	Q9H6T0	UniProt:Q9H6T0 ESRP2	
Proteins	P52597	UniProt:P52597 HNRNPF	
Proteins	P31943	UniProt:P31943 HNRNPH1	
Proteins	O43251	UniProt:O43251 RBFOX2	
Proteins	Q6NXG1	UniProt:Q6NXG1 ESRP1	
Proteins	Q01085	UniProt:Q01085 TIAL1	
Proteins	P31483	UniProt:P31483 TIA1	
Proteins	P52272	UniProt:P52272 HNRNPM	
Proteins	P26599	UniProt:P26599 PTBP1	
Proteins	P09651	UniProt:P09651 HNRNPA1	
Proteins	P11362-19	UniProt:P11362-19 FGFR1	
Proteins	Q03167	UniProt:Q03167 TGFBR3	
Proteins	O14908	UniProt:O14908 GIPC1	
Proteins	Q9UEF7-2	UniProt:Q9UEF7-2 KL	
Proteins	Q9UEF7-1	UniProt:Q9UEF7-1 KL	
Proteins	P11362-1	UniProt:P11362-1 FGFR1	
Proteins	P23352	UniProt:P23352 ANOS1	
Proteins	Q7Z698	UniProt:Q7Z698 SPRED2	
Proteins	Q7Z699	UniProt:Q7Z699 SPRED1	
Proteins	Q8N441	UniProt:Q8N441 FGFRL1	
Proteins	Q9NZU0	UniProt:Q9NZU0 FLRT3	
Proteins	O43155	UniProt:O43155 FLRT2	
