preferredName,log2FC_abs,log2FC_is_negative,EntrezID
CEBPZ,296.257,0,1649
LPAR6,352.259,0,10161
FSTL3,202.328,1,10272
ADAM29,371.372,1,11086
CHST14,218.401,1,113189
EXOSC8,203.714,0,11340
WDFY2,214.276,1,115825
CMKLR1,399.485,0,1240
PLK3,336.453,1,1263
CNR1,203.753,1,56144
KLF6,270.535,1,128854703
C4orf33,304.619,0,132321
CPT1A,211.203,1,1374
RNF183,257.333,1,138065
OR10A5,207.747,0,144124
CCT8L2,273.783,1,150160
KLHL23,208.273,1,100526832
CTSL,215.609,1,117600004
CXADR,540.293,1,1525
RAET1L,411.263,1,154064
CLEC12A,336.778,0,400002
NUDT10,24.109,1,170685
ZNF525,308.585,0,170958
EEF1A1,279.471,1,
ZNF627,348.643,0,199692
ESRRA,217.713,1,2101
OR10G8,334.867,1,219869
NBEAL2,319.377,1,23218
RRP12,260.437,1,23223
FOSB,59.766,1,2354
FPR3,583.891,0,2359
PPP1R15A,355.766,1,23645
SDF2L1,210.823,1,23753
STH,270.425,1,246744
FUT4,200.409,1,2526
H2BC1,33.846,1,255626
AHCTF1,268.942,1,25909
NOL11,217.701,0,25926
OR10H2,427.114,1,26538
ATP5MGL,313.678,1,267020
HBP1,246.297,0,26959
GPR82,477.983,0,27197
IFNL2,547.665,0,282616
OR4C12,431.246,1,283093
METRNL,281.537,1,108178995
HK3,280.072,1,354
HMGN2,275.507,1,3151
HMGA1,320.323,1,3159
NR4A1,377.794,1,115409980
HMX1,205.422,1,143433678
HSPD1,257.267,1,3329
HCAR2,474.233,1,338442
KCNK18,252.441,1,338567
IFNA1,494.711,1,3439
IFNA2,297.429,1,3440
CXCL8,869.949,1,3576
JUND,298.126,1,3727
FAM89A,241.002,1,375061
GJB7,285.557,1,375519
KCTD4,254.109,1,386618
KRTAP10-9,288.579,1,386676
SMAD7,200.523,1,4092
BLID,230.058,1,414899
ART1,233.822,1,10077
MMP3,240.083,1,4314
NDUFB1,223.798,1,4707
NDUFB3,257.707,1,4709
NFKB2,205.025,1,4791
NFKBIA,411.793,1,4792
NME3,253.239,1,4832
G0S2,688.121,1,50486
SERPINB2,625.953,0,5055
ARHGEF3,219.724,0,100874200
PAM16,23.736,1,100529144
ZNF706,251.833,0,115830329
IER5,220.799,1,51278
PDE6H,203.475,1,5149
LIPT1,229.824,0,51601
GNG13,204.004,1,51764
PIM1,207.192,1,9361
POLR2J,383.953,1,5439
FAM20A,216.338,1,54757
CHCHD3,258.213,0,54927
FAM86C1,34.763,1,55199
DRAM1,209.666,1,107984548
PEX26,21.701,1,55670
PCDHB14,279.152,0,56122
CYSLTR2,263.846,0,57105
HMHB1,211.032,1,57824
SLC46A2,220.217,0,
TP53INP2,219.592,1,58476
HIVEP3,244.921,1,59269
RELB,213.458,1,5971
MRPS35,207.359,0,
RPS18,239.576,1,6222
BIK,231.549,1,638
NFKBIZ,342.627,1,64332
SH3BP2,298.325,1,6452
SPATA20,262.083,1,64847
PLEKHG2,205.673,1,64857
BMP8B,217.811,1,105378666
TBCA,247.886,1,6902
SEC62,246.918,0,7095
TLR3,216.368,0,7098
UQCRFS1,274.941,1,
ZNF222,246.106,0,
ZNF175,22.286,0,7728
CYB5B,284.809,0,80777
OR4A5,414.524,1,81318
MAP1LC3B,270.415,0,81631
ABHD17A,335.016,1,81926
H2BC4,434.755,0,8339
H2BC17,279.845,1,8348
PLA2G10,414.443,1,8399
ZNF528,217.156,0,102724105
GON7,513.628,0,84520
RELT,291.707,1,84957
H2AC12,273.869,1,85235
CCIN,430.789,1,881
HCAR3,355.347,1,8843
ALKBH1,204.008,0,8846
SIGLEC12,354.787,0,89858
TAF1A,407.414,0,100506161
CCDC32,238.567,0,90416
CCNB2,268.055,1,9133
KLF4,259.886,1,9314
GNG8,236.951,1,94235
TNFSF8,225.644,0,944
IER2,355.387,1,
C2CD2L,24.848,1,9854
