Entrez ID,Gene Symbol - First value,T-test P-value,log2(Fold Change)
100,ADA,0.0145328,0.0286883
100129482,ZNF37BP,1.94994e-05,0.0415017
100129503,PP13,0.00483082,0.0239969
100133941,CD24,0.0435587,-0.0915753
100134713,NDUFB2-AS1,0.0109333,-0.024287
100500849,MIR3916,0.000584566,0.0233579
100507630,LOC100507630,0.00100979,-0.076187
100526760,ABHD14A-ACY1,0.00087491,0.0328755
10069,RWDD2B,0.000502678,0.0210825
101,ADAM8,0.0417022,-0.0213201
10105,PPIF,0.0253482,-0.0213882
10123,ARL4C,0.000186285,0.0389817
1014,CDH16,0.000541031,0.0291711
10140,TOB1,0.0275069,-0.0443649
10155,TRIM28,0.00125227,-0.0418907
10156,LOC102725198,0.00475348,-0.0431057
101927144,ACYP2,0.0140085,-0.0263514
101927770,LOC101927770,0.0047591,-0.0231028
101929726,LOC101929726,0.000925684,0.0235316
10199,MPHOSPH10,0.000521499,0.0297887
10200,MPHOSPH6,0.00496668,0.0271736
10227,MFSD10,0.000440986,-0.0641488
10231,RCAN2,2.07136e-06,0.0256601
10267,RAMP1,0.0100511,-0.0209118
10318,TNIP1,0.00459225,-0.0386785
10321,CRISP3,0.0257553,-0.147772
10347,ABCA7,0.00542096,-0.0318253
10365,KLF2,0.0368196,-0.0208472
10424,PGRMC2,0.00473401,-0.0241597
10436,EMG1,0.0042604,0.0217249
10438,C1D,8.17793e-05,-0.0440639
1045,CDX2,0.00561354,0.0258504
10465,PPIH,0.00242016,0.0309436
10477,UBE2E3,0.0440606,-0.0224057
1050,CEBPA,0.00893163,-0.0420813
10520,ZNF211,0.00790484,0.028455
1053,CEBPE,0.00414478,-0.0451556
10555,AGPAT2,0.00146478,-0.025731
1056,CEL,0.00172746,0.0222597
1057,CELP,0.00366493,0.0279645
10585,POMT1,0.00443004,0.0252177
10602,CDC42EP3,2.99908e-05,-0.037623
10610,ST6GALNAC2,0.013047,0.0219212
10625,IVNS1ABP,0.0377099,0.0221193
10641,NPRL2,0.000147913,0.0223301
10650,SLMO1,0.000558934,0.0221914
10691,GMEB1,7.79084e-06,-0.0260734
10762,NUP50,0.00167157,0.0263478
10766,TOB2,0.0018213,-0.0339176
10778,ZNF271,0.0257678,0.0364734
10782,ZNF274,0.0100036,0.0277684
10795,ZNF268,0.00494435,0.0214468
10818,FRS2,0.00432116,0.0232736
10856,RUVBL2,0.00196447,0.0230554
1088,CEACAM8,0.0352892,-0.129952
10943,MSL3,8.0659e-06,0.0211043
10946,SF3A3,0.0171892,-0.023053
10947,AP3M2,0.00238924,0.0225439
10957,PNRC1,0.000986498,-0.0217776
10966,RAB40B,0.00376472,-0.0253928
10970,CKAP4,0.0334454,-0.0242961
11039,SMA4,0.0426229,-0.0485454
11044,PAPD7,4.26865e-05,0.0320334
11059,WWP1,8.8693e-05,-0.0522925
11064,CNTRL,0.026276,0.0220696
11096,ADAMTS5,0.00125963,0.0399373
11162,NUDT6,0.000580061,-0.0214402
11166,SOX21,0.000900943,0.0271619
11180,WDR6,0.00739168,-0.0263543
11201,POLI,0.0415843,0.0293102
112479,ERI2,0.0110644,0.0240198
11260,XPOT,0.0165145,-0.0318846
11282,MGAT4B,0.0234635,-0.0333725
11326,VSIG4,0.000767887,0.0429216
11336,EXOC3,0.0202448,-0.0229351
1135,CHRNA2,0.000198608,-0.0358103
113878,DTX2,0.0116071,-0.030795
114,ADCY8,0.00357121,0.0236149
114876,OSBPL1A,0.00322573,0.0266838
114882,OSBPL8,0.00281713,-0.0276714
1149,CIDEA,0.00839146,0.0221058
116228,COX20,0.0185136,-0.0234149
116496,FAM129A,0.000340129,-0.0585644
1179,CLCA1,0.00010011,0.0281606
1185,CLCN6,0.00260704,0.0220546
1230,CCR1,0.00949571,-0.0300443
124044,SPATA2L,0.00114776,-0.0390342
126208,ZNF787,0.00107082,-0.0325778
126231,ZNF573,0.000359469,0.0341004
1271,CNTFR,0.0321268,-0.0221984
1310,COL19A1,0.000951912,0.025624
1339,COX6A2,0.0134874,-0.0260613
1368,CPM,0.0045988,-0.0263033
1369,CPN1,0.003681,0.0272851
138151,NACC2,0.0110989,-0.0283457
140,ADORA3,0.00111245,0.0315105
140803,TRPM6,3.68642e-05,0.0285957
1418,CRYGA,0.00162708,0.0216563
144699,FBXL14,0.0183944,-0.0250461
1487,CTBP1,0.0245911,-0.0266225
148753,FAM163A,0.0020615,0.0236092
1499,CTNNB1,0.00148859,-0.0431486
1506,CTRL,0.00277914,0.0280379
1509,CTSD,0.00092069,-0.0574875
1513,CTSK,0.00368069,0.0238375
152006,RNF38,0.0048857,-0.0227478
154,ADRB2,0.0286625,-0.0393124
1556,CYP2B7P,0.00021856,-0.0235977
157697,ERICH1,0.000288316,0.0290893
159,ADSS,0.0147899,-0.0308475
1613,DAPK3,0.000818392,-0.0301004
163,AP2B1,0.00332034,-0.0368777
1639,DCTN1,0.0356607,-0.022021
1643,DDB2,0.000957249,0.03305
1649,DDIT3,0.0032407,0.0228927
166,AES,0.0260097,-0.0336727
1669,DEFA4,0.031667,-0.103164
1796,DOK1,0.00101966,-0.0217635
1834,DSPP,0.0164734,-0.0530944
1845,DUSP3,0.0121186,-0.0225843
1849,DUSP7,0.00345152,-0.0267427
1855,DVL1,0.000187297,-0.0390201
1880,GPR183,0.0397692,-0.031644
1939,EIF2D,0.000195341,0.0245139
1958,EGR1,0.0486578,-0.0439615
1959,EGR2,0.00199566,-0.105719
1960,EGR3,0.0141659,-0.0463638
196441,ZFC3H1,0.00156671,0.0302566
1983,EIF5,0.0037574,0.0231482
1991,ELANE,0.00812641,-0.107808
200316,APOBEC3F,0.00354433,-0.037219
2011,MARK2,0.00196078,0.0320637
202,AIM1,0.0037052,-0.0270842
2027,ENO3,0.00201761,0.0217378
204851,HIPK1,0.000183669,-0.0270019
207,AKT1,0.00284597,-0.0433264
211,ALAS1,0.0219378,-0.0265174
2153,F5,0.0385513,-0.0267184
2155,F7,0.000172505,-0.054091
2171,FABP5,0.0171531,-0.0335099
2182,ACSL4,0.0121555,-0.0285431
2185,PTK2B,0.0191756,-0.0312382
2204,FCAR,0.014822,-0.025587
220972,MARCH8,0.0375438,-0.0275358
221,ALDH3B1,0.00180641,-0.0268024
221154,MICU2,0.0165827,-0.0237727
2212,FCGR2A,0.000141929,0.0343219
221692,PHACTR1,0.0039963,0.0211059
222161,DKFZP586I1420,0.00905055,0.0278281
22794,CASC3,0.00138135,0.0240459
22834,ZNF652,0.00352185,-0.0634251
22864,R3HDM2,0.00134607,-0.0242269
22883,CLSTN1,0.0242427,-0.0240512
22916,NCBP2,0.0099269,0.0248128
22920,KIFAP3,0.0111849,0.0233448
22948,CCT5,0.000318357,0.0246292
22974,TPX2,0.0339716,0.0217469
2298,FOXD4,0.00149464,0.0231757
22983,MAST1,0.00689876,0.0234127
2303,FOXC2,0.00175042,0.0280725
23036,ZNF292,0.00488672,-0.0327348
23075,SWAP70,0.00399573,-0.0214647
2308,FOXO1,0.000635866,0.023605
2316,FLNA,0.00197569,-0.0563456
23175,LPIN1,1.27864e-05,0.0235062
2318,FLNC,6.57879e-05,0.0316422
23218,NBEAL2,0.003161,-0.0469339
2322,FLT3,0.000450582,0.0396494
2323,FLT3LG,0.000984668,-0.0270146
23268,DNMBP,0.000295154,0.0288141
23299,BICD2,0.000551766,-0.029876
23339,VPS39,0.00126283,-0.0313893
23344,ESYT1,0.0348101,-0.0209268
23380,SRGAP2,0.00206054,0.0233466
23398,PPWD1,0.00542666,0.0431533
23401,FRAT2,0.000369515,-0.0347426
23405,DICER1,0.00300364,-0.0229013
23421,ITGB3BP,0.02011,0.0380082
23435,TARDBP,0.0114584,0.0219178
23468,CBX5,0.000222604,-0.0232922
2352,FOLR3,0.00851063,0.100721
23527,ACAP2,0.000694657,-0.0219438
23528,ZNF281,0.0180166,0.0247063
23534,TNPO3,1.60161e-05,0.0260786
2354,FOSB,0.0314389,-0.0613204
23569,PADI4,0.0305579,-0.0228954
23588,KLHDC2,0.00323336,0.0323734
23595,ORC3,0.000279807,0.030257
23625,FAM89B,0.0082367,-0.0273068
23629,BRD7P3,0.000385448,0.0276309
23641,LDOC1,0.00408235,0.0232607
23645,PPP1R15A,0.0195681,-0.0379871
23678,C8orf44-SGK3,0.0235403,-0.0363828
23765,IL17RA,2.8832e-06,-0.0367403
2395,FXN,0.000966511,0.0260159
24141,LAMP5,0.0148125,0.0240128
242,ALOX12B,0.00197743,0.0253817
2535,FZD2,0.0119981,0.035964
2551,GABPA,0.0217964,0.0280337
25797,QPCT,0.00679136,-0.0297467
258,AMBN,0.00204119,0.0213246
25801,GCA,0.017348,-0.0210714
25812,LOC102725072,0.038685,-0.0209739
25875,LETMD1,0.000254011,0.0247269
259173,ALS2CL,0.00353444,-0.0275252
25920,NELFB,0.000112436,-0.0381006
259230,SGMS1,0.0455057,-0.0268483
2593,GAMT,0.0134968,-0.0252328
25956,SEC31B,0.00377185,0.0253228
25977,NECAP1,0.0287169,-0.0214582
26000,TBC1D10B,0.00116864,-0.0339808
26034,IPCEF1,0.0279001,-0.0264393
26040,SETBP1,0.0271314,0.022174
26060,APPL1,0.000745289,-0.0511737
2644,GCHFR,0.000445786,0.0286404
26471,NUPR1,0.00494772,-0.0365829
26472,PPP1R14B,0.0296525,0.025526
26505,CNNM3,0.0189885,-0.0227824
26512,INTS6,0.0225512,-0.0311996
26515,TIMM10B,0.00416505,0.0272316
26539,OR10H1,0.0120984,-0.0255132
26578,OSTF1,0.00815325,0.0251324
268,AMH,0.00117975,0.0264434
2700,GJA3,0.00743369,-0.0215836
27023,FOXB1,0.0027588,0.0222875
27030,MLH3,0.00730936,0.0410203
2709,GJB5,0.0048707,0.0253349
27128,CYTH4,0.0400075,-0.0229368
27131,SNX5,0.000792958,0.0238744
27132,CPNE7,0.012736,-0.0223478
2717,GLA,0.000454072,0.0287969
27232,GNMT,0.000451575,0.0307949
27242,TNFRSF21,0.00123291,0.0302305
27253,PCDH17,0.00163206,0.0231371
27287,VENTX,0.00749193,0.0254462
27302,BMP10,0.00087405,0.0266606
27344,PCSK1N,0.000114658,0.0258315
2790,GNG10,0.0150345,-0.0212913
2794,GNL1,0.0102733,-0.0395859
2827,GPR3,0.00102767,0.0245111
283491,OR7E156P,0.00271131,0.0250482
283638,CEP170B,0.0055013,-0.0227413
283755,HERC2P3,0.000851772,0.0211425
284021,MILR1,0.0246062,-0.0265694
285672,SREK1IP1,0.000748095,-0.0288481
285755,PPIL6,0.00498224,0.022362
2867,FFAR2,0.0461027,-0.0243345
2870,GRK6,0.0012161,-0.0312582
28952,CCDC22,0.039956,-0.0235491
28990,ASTE1,0.000337224,0.038374
2907,GRINA,0.0256607,-0.0618016
29079,MED4,0.0162482,-0.0249705
29097,CNIH4,0.0066275,-0.0313197
29105,C16orf80,0.0110601,0.0264491
29116,MYLIP,0.0123381,0.0229177
2934,GSN,0.00195933,-0.0329886
2952,GSTT1,0.0403288,0.0216165
29761,USP25,0.0130864,0.0209216
29901,SAC3D1,0.0195175,-0.0256989
29902,FAM216A,0.000509198,-0.0355637
29966,STRN3,0.0056584,-0.0209386
29978,UBQLN2,0.00012954,-0.0463045
3002,GZMB,0.0208396,0.0485193
3006,HIST1H1C,0.022965,0.0267445
3007,HIST1H1D,0.00099206,0.0225418
3012,HIST1H2AE,0.00359445,0.0355471
3034,HAL,0.0230447,0.027377
305,ANXA2P3,0.00603836,0.0213033
3055,HCK,0.00557209,-0.0225126
3071,NCKAP1L,0.000950059,-0.0241272
309,ANXA6,0.025612,-0.0274991
3101,HK3,0.0315589,-0.0243343
3109,HLA-DMB,7.1415e-05,0.0249468
3142,HLX,0.0172149,-0.021337
3162,HMOX1,0.000711282,-0.0499496
3218,HOXB8,0.00576804,0.0212253
3240,HP,0.0248426,-0.0566408
3315,HSPB1,0.000754936,-0.0723702
3344,FOXN2,0.0264192,0.0228586
3376,IARS,0.0263489,0.0225238
3394,IRF8,0.00178378,0.0208292
3416,IDE,0.0111474,0.0223654
3475,IFRD1,0.0408161,0.0317424
3486,IGFBP3,0.00393492,0.0219394
351,APP,0.0319729,-0.0231607
353189,SLCO4C1,0.0127401,-0.0234943
353514,LILRA5,0.0234733,0.03876
3620,IDO1,0.000684825,0.0331535
3643,INSR,0.0121683,-0.0251446
3658,IREB2,0.00264937,-0.0344721
3675,ITGA3,0.0100362,0.0229919
3683,ITGAL,0.00323636,-0.0404981
3687,ITGAX,0.0137185,0.0285775
3707,ITPKB,0.000381589,-0.0331339
3708,ITPR1,0.0156431,-0.0223383
3725,JUN,0.00196067,-0.0235275
3726,JUNB,0.00443761,-0.0469064
3727,JUND,0.0407219,-0.0332521
373156,GSTK1,0.00411005,0.0238094
3738,KCNA3,0.00398402,0.0228395
3746,KCNC1,0.000175809,0.0243027
3747,KCNC2,0.00875159,0.0209353
375056,MIA3,0.000467024,0.0210267
3753,KCNE1,0.00233551,0.0237015
3754,KCNF1,0.000687084,-0.05891
3759,KCNJ2,0.0169248,-0.0453452
3810,KIR2DS5,0.00548415,0.0239526
3813,KIR3DS1,0.00240245,0.0246067
383,ARG1,0.0263548,-0.079954
3866,KRT15,0.00422298,-0.0276143
3868,KRT16,0.0339226,-0.0210107
387751,GVINP1,0.0253954,-0.0227947
3892,KRT86,0.00477606,0.0221631
389856,USP27X,2.99102e-05,0.0304007
3903,LAIR1,0.00136262,-0.0307875
3934,LCN2,0.0215564,-0.105987
3959,LGALS3BP,0.0444769,0.0332945
3972,CGB1,0.00287616,0.0309144
3985,LIMK2,0.000112039,-0.0249492
399664,MEX3D,1.44022e-06,0.0226896
4025,LPO,0.000641095,0.0237134
4052,LTBP1,0.00966765,-0.0282325
4057,LTF,0.0207541,-0.0955185
4063,LY9,0.000911481,0.0265935
4064,CD180,0.00681812,-0.0376942
4082,MARCKS,0.00415023,-0.0319244
4124,MAN2A1,0.00057595,0.0387366
4126,MANBA,0.000813884,0.0244606
4170,MCL1,0.00990979,-0.0234975
4184,SMCP,0.000130125,0.0238691
4185,ADAM11,7.2304e-05,0.0412603
4214,MAP3K1,0.027406,0.0343692
4215,MAP3K3,0.00136199,0.0364919
4217,MAP3K5,0.00508038,-0.0236632
4255,MGMT,0.0461398,0.020934
4267,CD99,0.00901377,-0.0244389
4286,MITF,0.000529902,-0.0301432
4317,MMP8,0.0260966,-0.106108
4342,MOS,0.000836668,0.0226438
4353,MPO,0.0428223,-0.0495354
4359,MPZ,0.000506058,0.0235675
4360,MRC1,0.038388,0.0218636
440,ASNS,0.0193817,0.0318043
4522,MTHFD1,0.0216556,0.0247262
4528,MTIF2,0.0107822,0.0279195
4643,MYO1E,0.0350651,-0.0226781
4649,MYO9A,0.000910793,0.0322555
466,ATF1,0.0346122,-0.0299186
4701,NDUFA7,0.00523291,0.0240691
4702,NDUFA8,0.0237142,0.0261589
4717,NDUFC1,3.72438e-05,-0.0264948
4791,NFKB2,0.0107432,-0.0271355
4792,NFKBIA,0.000109239,-0.0418314
4793,NFKBIB,0.021782,-0.0210761
4817,NIT1,0.0188558,0.0212075
4839,NOP2,0.00323158,0.0234352
4852,NPY,0.000172003,0.0269336
4929,NR4A2,0.0330343,-0.0431866
4931,NVL,1.14327e-05,0.0342625
4983,OPHN1,0.00059686,-0.0548168
5004,ORM1,0.0492824,-0.0304758
5034,P4HB,0.0102498,-0.0294899
5049,PAFAH1B2,0.00034202,0.0263291
5051,PAFAH2,0.000117171,0.0217593
50619,DEF6,0.0197237,-0.0307082
50624,CUZD1,0.0294861,0.0213006
50855,PARD6A,0.0252986,-0.0230167
50862,RNF141,0.0394483,0.0250185
5091,PC,0.00556447,0.0211782
51004,COQ6,0.000803811,0.0230966
51027,BOLA1,4.63416e-05,0.0264922
51107,APH1A,0.00208368,-0.026056
51128,SAR1B,0.0439099,-0.0224433
51177,PLEKHO1,0.0410875,-0.0260637
5118,PCOLCE,0.0101209,0.0219748
51184,GPN3,0.0139466,-0.0459316
51202,APOLD1,0.0240703,0.0212535
51230,PHF20,4.2519e-05,0.028347
51279,C1RL,0.0338228,-0.0222684
51290,ERGIC2,0.00165901,0.0511803
51293,CD320,0.000746573,0.0278433
51298,THEG,0.00035346,0.0236856
51322,WAC,0.0102262,-0.021386
5133,PDCD1,0.0409144,-0.0209128
51352,WT1-AS,0.00022736,0.0267622
51367,POP5,0.00475078,0.0232782
5142,PDE4B,0.00359477,0.030952
51441,YTHDF2,0.000926842,-0.0277516
51463,GPR89A,0.0050671,0.0212122
51465,UBE2J1,0.00295103,-0.0450615
51493,RTCB,0.00372629,0.0232515
51501,C11orf73,0.0329625,-0.026716
5151,PDE8A,0.000981822,0.0283045
