preferredName,log2FC_abs,log2FC_is_negative,Entrez ID
CDH2,563.672,1,1000
KHDC1L,726.382,1,100127886
LRRC69,123.659,1,100128124
TSTD1,653.015,1,100128236
ZNF717,525.061,1,100128239
CD24,861.971,1,100128751
SRRM5,695.878,1,100128840
ABCB6,579.337,1,100129128
ARL4A,690.031,0,100129195
CD96,887.291,1,100130609
CDKN1A,740.203,0,100130742
NMUR1,529.568,1,100130776
CD52,500.206,1,100131043
EMG1,56.655,1,100131187
CEACAM5,600.493,1,100131827
IFI44,69.913,0,100132167
COLEC10,715.289,0,100132273
RASL10A,589.759,1,100132464
EDDM3A,659.937,1,100132686
IFI44L,1.4677,0,100133941
UPK1A,700.163,1,100170229
STMN2,5.907,1,100233209
ZWINT,562.971,1,100287098
IL1RAPL1,544.461,1,100287216
NUDT6,655.959,1,100288122
MAP4K1,529.698,1,100288805
KLF8,615.376,1,100288893
ZIM3,111.228,1,100505832
MRFAP1L1,545.027,1,100505881
SLC26A9,73.122,1,100506068
FCRL3,101.143,1,100506272
GBP4,555.221,0,100506406
CKM,83.783,1,100506465
ABHD15,591.767,1,100506621
ACSM1,787.024,1,100506827
C8orf34,639.068,1,100506990
MRGPRF,131.514,1,100507066
RPL39L,792.059,1,100507165
MUCL1,505.231,1,100507244
LARGE2,593.776,1,100507267
FOXN4,546.064,1,100507303
CLBA1,724.305,1,100507616
ACOT4,901.936,1,10058
CCR5,886.158,1,100652791
CCDC78,754.781,1,100653022
MIEF2,133.673,1,100861545
CLDND2,776.495,1,100874238
C1orf194,51.391,1,100874241
CMPK2,691.001,0,100996583
SPIN4,500.204,1,100996624
ANKRD60,523.527,1,100996756
CSF3,870.599,1,10124
FAM216B,737.981,1,101410533
CARMIL2,551.641,1,101926915
RTN4RL1,970.136,1,101926934
SLFN13,913.509,1,101926996
CCBE1,500.501,1,101927007
CDC42EP5,109.321,0,101927067
HJV,100.041,1,101927112
CCDC27,135.145,1,101927196
KNCN,106.217,1,101927256
LRRC71,898.462,1,101927416
PNPLA5,690.228,0,101927886
CTRB1,710.602,0,101927889
KLHL23,568.985,1,101927944
PP2D1,108.184,1,101928009
MARVELD2,635.819,1,101928111
CCDC167,852.665,1,101928144
RUNDC3B,913.291,1,101928165
AMOT,685.587,1,101928201
PRAG1,571.999,1,101928401
KIAA1958,595.809,0,101928403
DGKB,617.074,1,101928418
MDGA2,893.901,1,101928443
C16orf82,950.573,1,101928457
PHOSPHO1,127.936,1,101928460
FBXO39,538.659,1,101928618
ELOA3,704.619,1,101928700
ZNF296,81.536,1,101928813
DCX,629.849,1,101928833
UBL4B,609.008,1,101928837
AKR1C2,533.307,1,101929040
SPTSSB,97.526,1,101929122
ZNF366,692.702,1,101929144
TIMM8A,515.189,1,101929164
ZCCHC12,550.621,1,101929210
SEPTIN1,669.523,1,101929225
DNMT3B,103.658,0,101929239
E2F6,694.935,1,101929413
METTL21C,594.638,1,101929454
TXLNA,806.047,1,101929526
ERICH5,879.019,1,101929584
CT83,596.731,1,101929687
EPHA3,643.325,1,101929963
PDILT,745.267,1,101930028
EPS8,586.879,1,102060282
ETV4,543.486,1,10225
FANCF,625.885,1,1026
FANCG,692.209,1,102723704
TMEM26,126.115,1,102724017
SPATA19,626.429,1,102724718
FCGR1A,535.407,0,102725408
FCGR1B,5.434,0,10316
GPRC6A,111.074,1,103344718
UNC5CL,650.789,0,1043
FEN1,539.653,1,10436
FGF9,761.296,1,1048
SORCS3,79.261,1,10561
TTC39A,583.464,1,10584
ATP10B,622.144,1,10633
N4BP3,623.881,1,10876
ANKRD28,505.474,0,10964
KIF13B,901.743,1,11045
ESYT1,538.917,1,11075
SYNE1,657.178,1,11130
LARS2,586.785,1,11141
GSPT2,69.536,1,11162
FSHR,107.051,1,11184
G6PC,692.793,1,11279
CT47A4,707.218,1,114026
COL6A5,512.411,1,114932
SCML4,659.098,1,115019
NCR3,1.2296,1,115352
MYRIP,502.174,1,115361
NOL11,503.471,1,1158
IL4I1,628.537,0,116236
NECTIN3,510.332,0,116285
PYGO1,624.375,1,116328
FBXO5,511.085,1,116535
GBP1,82.818,0,116832
GBP2,497.966,0,118430
GCKR,726.772,1,120071
OR4F16,46.078,0,121643
OR2W1,97.967,1,122616
GFI1,6.473,1,122970
AMPD1,792.329,1,1234
ZNF777,529.692,1,124093
TEKT2,900.229,0,125170
GLI1,908.893,1,125875
BIN1,599.226,1,127003
GNGT1,100.144,1,129607
XCR1,573.366,1,134466
JAKMIP3,101.495,1,138649
CDH20,592.857,1,139886
OR8D2,102.422,1,140678
CXCR3,583.575,1,140731
OR4N4,517.599,1,142937
MEIOC,594.626,1,1440
DCAF4L1,110.861,0,144809
PPIL6,560.064,1,145438
SLC25A4,650.982,1,146206
PRSS50,740.465,1,146760
GRP,944.689,1,146857
YPEL1,592.377,1,147372
GMPPB,520.602,1,148170
H1-0,45.965,0,148738
HAS1,785.774,1,148870
HCRTR2,131.851,1,148930
ERVW-1,783.979,0,149499
NRG1,56.395,0,150379
HMMR,528.806,1,1504
RFESD,579.529,1,151230
