"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Signaling by Receptor Tyrosine Kinases","27.59%","16","58","538","11494","3.33e-8","2.49e-5","5.89","2.49e-5","2.15e-5","5.47e-9"
"REACTOME_PATHWAY","Signal Transduction","55.17%","32","58","2628","11494","2.36e-7","8.82e-5","2.41","1.76e-4","7.62e-5","9.62e-8"
"REACTOME_PATHWAY","Extra-nuclear estrogen signaling","12.07%","7","58","76","11494","1.90e-6","3.64e-4","18.25","1.42e-3","3.14e-4","9.57e-8"
"REACTOME_PATHWAY","Negative regulation of the PI3K/AKT network","13.79%","8","58","120","11494","1.95e-6","3.64e-4","13.21","1.45e-3","3.14e-4","1.38e-7"
"REACTOME_PATHWAY","Signal transduction by L1","8.62%","5","58","20","11494","2.48e-6","3.71e-4","49.54","1.85e-3","3.21e-4","4.01e-8"
"REACTOME_PATHWAY","RAF-independent MAPK1/3 activation","8.62%","5","58","22","11494","3.72e-6","4.64e-4","45.04","2.78e-3","4.00e-4","6.77e-8"
"REACTOME_PATHWAY","PIP3 activates AKT signaling","17.24%","10","58","264","11494","5.33e-6","5.01e-4","7.51","3.98e-3","4.33e-4","6.81e-7"
"REACTOME_PATHWAY","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","8.62%","5","58","24","11494","5.36e-6","5.01e-4","41.29","4.00e-3","4.33e-4","1.08e-7"
"REACTOME_PATHWAY","MAPK1 (ERK2) activation","6.90%","4","58","8","11494","6.36e-6","5.29e-4","99.09","4.75e-3","4.57e-4","4.02e-8"
"REACTOME_PATHWAY","MAPK3 (ERK1) activation","6.90%","4","58","9","11494","9.51e-6","7.11e-4","88.08","7.09e-3","6.14e-4","7.22e-8"
"REACTOME_PATHWAY","Axon guidance","22.41%","13","58","544","11494","1.12e-5","7.64e-4","4.74","8.36e-3","6.59e-4","2.30e-6"
"REACTOME_PATHWAY","Diseases of signal transduction by growth factor receptors and second messengers","20.69%","12","58","458","11494","1.25e-5","7.80e-4","5.19","9.31e-3","6.74e-4","2.33e-6"
"REACTOME_PATHWAY","Intracellular signaling by second messengers","17.24%","10","58","306","11494","1.75e-5","8.91e-4","6.48","1.30e-2","7.70e-4","2.60e-6"
"REACTOME_PATHWAY","Nervous system development","22.41%","13","58","569","11494","1.76e-5","8.91e-4","4.53","1.31e-2","7.70e-4","3.77e-6"
"REACTOME_PATHWAY","PI3K/AKT Signaling in Cancer","12.07%","7","58","112","11494","1.81e-5","8.91e-4","12.39","1.35e-2","7.70e-4","1.38e-6"
"REACTOME_PATHWAY","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","12.07%","7","58","113","11494","1.91e-5","8.91e-4","12.28","1.42e-2","7.70e-4","1.46e-6"
"REACTOME_PATHWAY","MAPK family signaling cascades","17.24%","10","58","314","11494","2.14e-5","9.43e-4","6.31","1.59e-2","8.15e-4","3.27e-6"
"REACTOME_PATHWAY","Cellular responses to stimuli","27.59%","16","58","919","11494","2.81e-5","1.17e-3","3.45","2.08e-2","1.01e-3","7.94e-6"
"REACTOME_PATHWAY","Signaling by Insulin receptor","10.34%","6","58","80","11494","4.54e-5","1.79e-3","14.86","3.34e-2","1.54e-3","2.85e-6"
"REACTOME_PATHWAY","MAPK1/MAPK3 signaling","15.52%","9","58","274","11494","5.65e-5","2.11e-3","6.51","4.14e-2","1.83e-3","8.35e-6"
"REACTOME_PATHWAY","Gastrin-CREB signalling pathway via PKC and MAPK","6.90%","4","58","18","11494","8.95e-5","3.19e-3","44.04","6.48e-2","2.75e-3","1.69e-6"
"REACTOME_PATHWAY","Signaling by Nuclear Receptors","15.52%","9","58","297","11494","9.94e-5","3.38e-3","6.01","7.17e-2","2.92e-3","1.59e-5"
"REACTOME_PATHWAY","ESR-mediated signaling","13.79%","8","58","223","11494","1.09e-4","3.55e-3","7.11","7.84e-2","3.07e-3","1.47e-5"
"REACTOME_PATHWAY","VEGFA-VEGFR2 Pathway","10.34%","6","58","97","11494","1.14e-4","3.56e-3","12.26","8.19e-2","3.07e-3","8.78e-6"
"REACTOME_PATHWAY","Insulin receptor signalling cascade","8.62%","5","58","52","11494","1.23e-4","3.69e-3","19.06","8.81e-2","3.18e-3","5.95e-6"
"REACTOME_PATHWAY","Signaling by GPCR","22.41%","13","58","716","11494","1.64e-4","4.72e-3","3.60","1.15e-1","4.07e-3","4.42e-5"
"REACTOME_PATHWAY","Signaling by VEGF","10.34%","6","58","108","11494","1.89e-4","5.25e-3","11.01","1.32e-1","4.53e-3","1.63e-5"
"REACTOME_PATHWAY","NCAM signaling for neurite out-growth","8.62%","5","58","61","11494","2.30e-4","6.14e-3","16.24","1.58e-1","5.30e-3","1.32e-5"
"REACTOME_PATHWAY","GPCR downstream signalling","20.69%","12","58","641","11494","2.62e-4","6.75e-3","3.71","1.78e-1","5.83e-3","6.83e-5"
"REACTOME_PATHWAY","L1CAM interactions","10.34%","6","58","123","11494","3.47e-4","8.66e-3","9.67","2.29e-1","7.47e-3","3.41e-5"
"REACTOME_PATHWAY","Signaling by Interleukins","17.24%","10","58","471","11494","4.70e-4","1.09e-2","4.21","2.97e-1","9.38e-3","1.08e-4"
"REACTOME_PATHWAY","Developmental Biology","31.03%","18","58","1457","11494","4.88e-4","1.09e-2","2.45","3.06e-1","9.38e-3","1.93e-4"
"REACTOME_PATHWAY","RSK activation","5.17%","3","58","7","11494","4.99e-4","1.09e-2","84.93","3.12e-1","9.38e-3","4.21e-6"
"REACTOME_PATHWAY","Cellular responses to stress","22.41%","13","58","808","11494","5.00e-4","1.09e-2","3.19","3.12e-1","9.38e-3","1.52e-4"
"REACTOME_PATHWAY","Bacterial Infection Pathways","8.62%","5","58","75","11494","5.08e-4","1.09e-2","13.21","3.16e-1","9.38e-3","3.62e-5"
"REACTOME_PATHWAY","Disease","36.21%","21","58","1926","11494","6.13e-4","1.27e-2","2.16","3.68e-1","1.10e-2","2.76e-4"
"REACTOME_PATHWAY","IFNG signaling activates MAPKs","5.17%","3","58","8","11494","6.64e-4","1.31e-2","74.31","3.91e-1","1.13e-2","6.71e-6"
"REACTOME_PATHWAY","Suppression of apoptosis","5.17%","3","58","8","11494","6.64e-4","1.31e-2","74.31","3.91e-1","1.13e-2","6.71e-6"
"REACTOME_PATHWAY","Constitutive Signaling by Aberrant PI3K in Cancer","8.62%","5","58","85","11494","8.16e-4","1.57e-2","11.66","4.57e-1","1.35e-2","6.62e-5"
"REACTOME_PATHWAY","MITF-M-regulated melanocyte development","10.34%","6","58","155","11494","9.95e-4","1.86e-2","7.67","5.25e-1","1.61e-2","1.24e-4"
