"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Interferon Signaling","3.57%","20","262","283","11494","2.45e-5","2.47e-2","3.10","2.44e-2","2.46e-2","7.34e-6"
"REACTOME_PATHWAY","Interferon alpha/beta signaling","1.60%","9","262","78","11494","3.77e-4","1.53e-1","5.06","3.16e-1","1.53e-1","6.69e-5"
"REACTOME_PATHWAY","GPCR ligand binding","4.28%","24","262","475","11494","5.20e-4","1.53e-1","2.22","4.08e-1","1.53e-1","2.20e-4"
"REACTOME_PATHWAY","Peptide ligand-binding receptors","2.50%","14","262","202","11494","7.05e-4","1.53e-1","3.04","5.09e-1","1.53e-1","2.16e-4"
"REACTOME_PATHWAY","Class A/1 (Rhodopsin-like receptors)","3.39%","19","262","340","11494","7.58e-4","1.53e-1","2.45","5.35e-1","1.53e-1","2.91e-4"
"REACTOME_PATHWAY","Chemokine receptors bind chemokines","1.25%","7","262","59","11494","2.13e-3","3.58e-1","5.20","8.84e-1","3.57e-1","3.66e-4"
"REACTOME_PATHWAY","GPCR downstream signalling","4.81%","27","262","641","11494","2.89e-3","4.17e-1","1.85","9.46e-1","4.16e-1","1.51e-3"
"REACTOME_PATHWAY","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","2.32%","13","262","217","11494","3.99e-3","5.03e-1","2.63","9.82e-1","5.02e-1","1.41e-3"
"REACTOME_PATHWAY","Signaling by GPCR","4.99%","28","262","716","11494","6.53e-3","7.32e-1","1.72","9.99e-1","7.30e-1","3.63e-3"
"REACTOME_PATHWAY","Cytokine Signaling in Immune system","5.35%","30","262","801","11494","8.45e-3","8.52e-1","1.64","1.00e+0","8.51e-1","4.89e-3"
"REACTOME_PATHWAY","Complement cascade","1.43%","8","262","124","11494","2.29e-2","1.00e+0","2.83","1.00e+0","9.99e-1","7.42e-3"
"REACTOME_PATHWAY","Interferon gamma signaling","1.25%","7","262","97","11494","2.30e-2","1.00e+0","3.17","1.00e+0","9.99e-1","6.64e-3"
"REACTOME_PATHWAY","Phenylalanine and tyrosine metabolism","0.53%","3","262","11","11494","2.47e-2","1.00e+0","11.96","1.00e+0","9.99e-1","1.69e-3"
"REACTOME_PATHWAY","Extracellular matrix organization","2.50%","14","262","323","11494","3.31e-2","1.00e+0","1.90","1.00e+0","9.99e-1","1.60e-2"
"REACTOME_PATHWAY","G alpha (i) signalling events","2.50%","14","262","324","11494","3.37e-2","1.00e+0","1.90","1.00e+0","9.99e-1","1.65e-2"
"REACTOME_PATHWAY","Integrin cell surface interactions","1.07%","6","262","85","11494","4.39e-2","1.00e+0","3.10","1.00e+0","9.99e-1","1.29e-2"
"REACTOME_PATHWAY","Regulation of Complement cascade","1.25%","7","262","114","11494","4.53e-2","1.00e+0","2.69","1.00e+0","9.99e-1","1.54e-2"
"REACTOME_PATHWAY","Initial triggering of complement","1.07%","6","262","89","11494","5.18e-2","1.00e+0","2.96","1.00e+0","9.99e-1","1.59e-2"
"REACTOME_PATHWAY","Hyaluronan metabolism","0.53%","3","262","18","11494","6.19e-2","1.00e+0","7.31","1.00e+0","9.99e-1","7.41e-3"
"REACTOME_PATHWAY","G alpha (q) signalling events","1.78%","10","262","219","11494","6.24e-2","1.00e+0","2.00","1.00e+0","9.99e-1","2.86e-2"
"REACTOME_PATHWAY","Modulation of host responses by IFN-stimulated genes","0.53%","3","262","19","11494","6.82e-2","1.00e+0","6.93","1.00e+0","9.99e-1","8.66e-3"
"REACTOME_PATHWAY","Immune System","10.70%","60","262","2177","11494","7.59e-2","1.00e+0","1.21","1.00e+0","9.99e-1","6.00e-2"
"REACTOME_PATHWAY","Visual phototransduction","1.07%","6","262","105","11494","9.07e-2","1.00e+0","2.51","1.00e+0","9.99e-1","3.28e-2"
"REACTOME_PATHWAY","FCGR3A-mediated IL10 synthesis","1.07%","6","262","106","11494","9.35e-2","1.00e+0","2.48","1.00e+0","9.99e-1","3.41e-2"
"REACTOME_PATHWAY","Mitotic G1 phase and G1/S transition","1.25%","7","262","139","11494","9.69e-2","1.00e+0","2.21","1.00e+0","9.99e-1","3.98e-2"

