"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Intracellular signaling by second messengers","20.69%","12","58","306","11494","2.47e-7","1.76e-4","7.77","1.76e-4","1.55e-4","3.05e-8"
"REACTOME_PATHWAY","PIP3 activates AKT signaling","18.97%","11","58","264","11494","5.75e-7","2.05e-4","8.26","4.11e-4","1.81e-4","6.67e-8"
"REACTOME_PATHWAY","Signal Transduction","53.45%","31","58","2628","11494","9.42e-7","2.24e-4","2.34","6.72e-4","1.97e-4","3.96e-7"
"REACTOME_PATHWAY","Signaling by Receptor Tyrosine Kinases","24.14%","14","58","538","11494","1.65e-6","2.78e-4","5.16","1.17e-3","2.44e-4","3.09e-7"
"REACTOME_PATHWAY","Negative regulation of the PI3K/AKT network","13.79%","8","58","120","11494","1.95e-6","2.78e-4","13.21","1.39e-3","2.44e-4","1.38e-7"
"REACTOME_PATHWAY","Signal transduction by L1","8.62%","5","58","20","11494","2.48e-6","2.83e-4","49.54","1.77e-3","2.49e-4","4.01e-8"
"REACTOME_PATHWAY","MAPK family signaling cascades","18.97%","11","58","314","11494","2.77e-6","2.83e-4","6.94","1.98e-3","2.49e-4","3.85e-7"
"REACTOME_PATHWAY","RAF-independent MAPK1/3 activation","8.62%","5","58","22","11494","3.72e-6","3.32e-4","45.04","2.65e-3","2.92e-4","6.77e-8"
"REACTOME_PATHWAY","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","8.62%","5","58","24","11494","5.36e-6","4.26e-4","41.29","3.82e-3","3.74e-4","1.08e-7"
"REACTOME_PATHWAY","MAPK1 (ERK2) activation","6.90%","4","58","8","11494","6.36e-6","4.54e-4","99.09","4.53e-3","4.00e-4","4.02e-8"
"REACTOME_PATHWAY","MAPK1/MAPK3 signaling","17.24%","10","58","274","11494","7.20e-6","4.67e-4","7.23","5.13e-3","4.11e-4","9.56e-7"
"REACTOME_PATHWAY","MAPK3 (ERK1) activation","6.90%","4","58","9","11494","9.51e-6","5.66e-4","88.08","6.77e-3","4.98e-4","7.22e-8"
"REACTOME_PATHWAY","Axon guidance","22.41%","13","58","544","11494","1.12e-5","6.17e-4","4.74","7.99e-3","5.42e-4","2.30e-6"
"REACTOME_PATHWAY","Nervous system development","22.41%","13","58","569","11494","1.76e-5","8.51e-4","4.53","1.25e-2","7.48e-4","3.77e-6"
"REACTOME_PATHWAY","PI3K/AKT Signaling in Cancer","12.07%","7","58","112","11494","1.81e-5","8.51e-4","12.39","1.29e-2","7.48e-4","1.38e-6"
"REACTOME_PATHWAY","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","12.07%","7","58","113","11494","1.91e-5","8.51e-4","12.28","1.35e-2","7.48e-4","1.46e-6"
"REACTOME_PATHWAY","Signaling by Insulin receptor","10.34%","6","58","80","11494","4.54e-5","1.91e-3","14.86","3.19e-2","1.68e-3","2.85e-6"
"REACTOME_PATHWAY","Diseases of signal transduction by growth factor receptors and second messengers","18.97%","11","58","458","11494","7.33e-5","2.91e-3","4.76","5.10e-2","2.56e-3","1.49e-5"
"REACTOME_PATHWAY","Gastrin-CREB signalling pathway via PKC and MAPK","6.90%","4","58","18","11494","8.95e-5","3.36e-3","44.04","6.19e-2","2.96e-3","1.69e-6"
"REACTOME_PATHWAY","Cellular responses to stimuli","25.86%","15","58","919","11494","1.17e-4","4.19e-3","3.23","8.03e-2","3.68e-3","3.52e-5"
"REACTOME_PATHWAY","Insulin receptor signalling cascade","8.62%","5","58","52","11494","1.23e-4","4.19e-3","19.06","8.42e-2","3.69e-3","5.95e-6"
"REACTOME_PATHWAY","Signaling by GPCR","22.41%","13","58","716","11494","1.64e-4","5.32e-3","3.60","1.10e-1","4.68e-3","4.42e-5"
"REACTOME_PATHWAY","NCAM signaling for neurite out-growth","8.62%","5","58","61","11494","2.30e-4","7.13e-3","16.24","1.51e-1","6.28e-3","1.32e-5"
"REACTOME_PATHWAY","GPCR downstream signalling","20.69%","12","58","641","11494","2.62e-4","7.79e-3","3.71","1.71e-1","6.85e-3","6.83e-5"
"REACTOME_PATHWAY","RAF/MAP kinase cascade","13.79%","8","58","269","11494","3.46e-4","9.53e-3","5.89","2.19e-1","8.38e-3","5.64e-5"
"REACTOME_PATHWAY","L1CAM interactions","10.34%","6","58","123","11494","3.47e-4","9.53e-3","9.67","2.20e-1","8.38e-3","3.41e-5"
"REACTOME_PATHWAY","Signaling by Interleukins","17.24%","10","58","471","11494","4.70e-4","1.24e-2","4.21","2.85e-1","1.09e-2","1.08e-4"
"REACTOME_PATHWAY","RSK activation","5.17%","3","58","7","11494","4.99e-4","1.27e-2","84.93","3.00e-1","1.12e-2","4.21e-6"
"REACTOME_PATHWAY","Extra-nuclear estrogen signaling","8.62%","5","58","76","11494","5.35e-4","1.32e-2","13.04","3.17e-1","1.16e-2","3.86e-5"
"REACTOME_PATHWAY","Disease","36.21%","21","58","1926","11494","6.13e-4","1.44e-2","2.16","3.54e-1","1.26e-2","2.76e-4"
