"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Signal Transduction","59.62%","62","104","2628","11494","1.80e-15","1.79e-12","2.61","1.76e-12","1.39e-12","6.67e-16"
"REACTOME_PATHWAY","PI3K/AKT Signaling in Cancer","15.38%","16","104","112","11494","5.19e-14","2.58e-11","15.79","5.16e-11","1.99e-11","2.85e-15"
"REACTOME_PATHWAY","Signaling by Receptor Tyrosine Kinases","26.92%","28","104","538","11494","1.14e-13","3.36e-11","5.75","1.13e-10","2.60e-11","1.89e-14"
"REACTOME_PATHWAY","PIP3 activates AKT signaling","20.19%","21","104","264","11494","1.53e-13","3.36e-11","8.79","1.52e-10","2.60e-11","1.62e-14"
"REACTOME_PATHWAY","Diseases of signal transduction by growth factor receptors and second messengers","25.00%","26","104","458","11494","1.69e-13","3.36e-11","6.27","1.68e-10","2.60e-11","2.56e-14"
"REACTOME_PATHWAY","Intracellular signaling by second messengers","21.15%","22","104","306","11494","2.44e-13","4.04e-11","7.95","2.43e-10","3.13e-11","2.87e-14"
"REACTOME_PATHWAY","Negative regulation of the PI3K/AKT network","14.42%","15","104","120","11494","2.66e-12","3.78e-10","13.81","2.64e-9","2.92e-10","1.71e-13"
"REACTOME_PATHWAY","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","13.46%","14","104","113","11494","2.03e-11","2.52e-9","13.69","2.01e-8","1.95e-9","1.32e-12"
"REACTOME_PATHWAY","Disease","45.19%","47","104","1926","11494","2.68e-11","2.96e-9","2.70","2.66e-8","2.29e-9","9.73e-12"
"REACTOME_PATHWAY","Constitutive Signaling by Aberrant PI3K in Cancer","11.54%","12","104","85","11494","2.14e-10","2.12e-8","15.60","2.12e-7","1.64e-8","1.20e-11"
"REACTOME_PATHWAY","Extra-nuclear estrogen signaling","10.58%","11","104","76","11494","1.25e-9","1.13e-7","16.00","1.24e-6","8.74e-8","6.82e-11"
"REACTOME_PATHWAY","VEGFA-VEGFR2 Pathway","10.58%","11","104","97","11494","1.41e-8","1.17e-6","12.53","1.40e-5","9.03e-7","1.01e-9"
"REACTOME_PATHWAY","MAPK family signaling cascades","16.35%","17","104","314","11494","1.72e-8","1.32e-6","5.98","1.71e-5","1.02e-6","2.73e-9"
"REACTOME_PATHWAY","MAPK1/MAPK3 signaling","15.38%","16","104","274","11494","1.94e-8","1.38e-6","6.45","1.93e-5","1.06e-6","2.84e-9"
"REACTOME_PATHWAY","Signaling by Interleukins","19.23%","20","104","471","11494","3.06e-8","2.03e-6","4.69","3.04e-5","1.57e-6","6.25e-9"
"REACTOME_PATHWAY","Hemostasis","23.08%","24","104","699","11494","3.93e-8","2.34e-6","3.79","3.90e-5","1.81e-6","1.00e-8"
