Entrez ID,Gene Symbol - First value,T-test P-value,log2(Fold Change)
1000,CDH2,0.024499,-0.563672
100127886,LOC100127886,0.014626,0.855853
100128124,HGC6.3,0.00323943,-0.885464
100128236,GAFA3,0.0174571,1.01215
100128239,LOC100128239,0.029543,-1.12445
100128751,LOC100128751,0.0463437,0.854346
100128840,LOC100128840,0.0444781,-0.693299
100129128,KHDC1L,0.0273484,-0.726382
100129195,ZSCAN16-AS1,0.000216396,-0.524013
100130609,PP12708,0.0313772,-1.20967
100130742,LRRC69,0.0307748,-1.23659
100130776,AGAP2-AS1,0.0393622,0.685539
100131043,LOC100131043,0.00261031,-0.905101
100131187,TSTD1,0.0186219,-0.653015
100131827,ZNF717,0.0325139,-0.525061
100132167,LOC100132167,0.0445526,-0.674693
100132273,LOC102723722,0.0102692,-0.819428
100132464,FAM99B,0.0273348,-0.524798
100132686,LOC100132686,0.0332029,-0.817159
100133941,CD24,0.0489004,-0.861971
100170229,SRRM5,0.0467114,-0.695878
100233209,PCED1B-AS1,0.0360435,-0.700246
100287098,LOC100287098,0.0394883,-0.615625
100287216,SH3RF3-AS1,0.0353265,-0.929837
100288122,LDLRAD4-AS1,0.039627,-0.525706
100288805,HYDIN2,0.0419101,-0.951549
100288893,LOC100288893,0.020589,-0.887161
100505832,PROX1-AS1,0.00510441,-0.893085
100505881,MAGI2-AS3,0.0159929,0.855497
100506068,DACT3-AS1,0.0105388,-1.06446
100506272,LOC100506272,0.0381352,-0.919943
100506406,LOC100506406,0.00547941,-0.827313
100506465,LINC01234,0.0317443,-0.504923
100506621,LINC01279,0.0234972,0.617978
100506827,LOC100506827,0.0125349,-0.925114
100506990,LOC100506990,0.00909302,0.551733
100507066,CLIP1-AS1,0.00714011,1.07108
100507165,LOC100507165,0.00940965,-1.41986
100507244,MAMDC2-AS1,0.00651777,0.505528
100507267,LINC01187,0.0354654,-0.519798
100507303,SNHG19,0.025286,-0.505114
100507616,LOC100507616,0.0136565,-1.07259
10058,ABCB6,0.0256982,-0.579337
100652791,GS1-24F4.2,0.02271,1.10644
100653022,PP12719,0.01201,-0.73994
100861545,LINC00561,0.0336983,-0.982477
100874238,ARHGEF7-AS2,0.0349263,-0.798252
100874241,STARD13-AS,0.000333456,-0.771108
100996583,LOC100996583,0.0489114,-0.564276
100996624,LOC100996624,0.0186629,-1.0899
100996756,LOC100996756,0.0261046,2.25328
10124,ARL4A,0.0407501,0.690031
101410533,YTHDF3-AS1,0.0198768,0.581273
101926915,LOC101926915,0.00908065,-1.07112
101926934,LOC101926934,0.0234397,-0.653098
101926996,LOC101926996,0.0416342,-0.673327
101927007,LINC01365,0.0494849,-0.626256
101927067,LOC101927067,0.037443,-0.62621
101927112,LOC101927112,0.00571034,0.633996
101927196,LOC101927196,0.0355232,-0.616918
101927256,LOC101927256,0.0145997,-0.709562
101927416,LOC101927416,0.0225054,1.05168
101927886,LOC101927886,0.0488073,0.609243
101927889,LINC01153,0.0228605,-0.67106
101927944,FAM53B-AS1,0.0484801,-0.612456
101928009,LOC101928009,0.0256849,-0.7635
101928111,LOC101928111,0.0280812,-0.887935
101928144,LOC101928144,0.0305183,-0.632602
101928165,CASC17,0.00841121,0.846275
101928201,LOC101928201,0.0329113,-1.00791
101928401,LOC101928401,0.0412896,-1.15294
101928403,LOC101928403,0.0420472,-0.817913
101928418,LOC101928418,0.0335373,-0.735195
101928443,LOC101928443,0.00709787,-0.895954
101928457,LOC101928457,0.0376382,-0.675665
101928460,LOC101928460,0.0223766,0.662262
101928618,LOC101928618,0.00728692,0.982082
101928700,LOC101928700,0.0402328,-0.610591
101928833,LOC101928833,0.0029913,-0.991906
101928837,LOC101928837,0.025705,0.85273
101929040,LOC101929040,0.00286104,-0.787564
101929122,LOC101929122,0.00515862,-0.950402
101929144,LOC101929144,0.0127974,-0.862496
101929164,LOC101929164,0.0428982,-1.12093
101929210,LOC101929210,0.0396858,-0.861672
101929225,LOC101929225,0.0368591,-1.21447
101929239,LOC101929239,0.0395979,-0.637716
101929413,LOC101929413,0.0165708,0.860188
101929454,LOC101929454,0.0239335,-0.797771
101929526,LOC101929526,0.00161032,1.18817
101929584,LOC101929584,0.00404526,-0.750587
101929687,LOC101929687,0.0194999,-0.682547
101929963,LOC101929963,0.00319455,-1.20019
101930028,LOC101930028,0.0211286,-1.43933
102060282,RASSF1-AS1,0.0248534,1.23073
10225,CD96,0.011197,-0.887291
1026,CDKN1A,0.0249736,0.740203
102723704,LOC102723704,0.00415758,-0.730926
102724017,LOC102724017,0.0275712,-0.50295
102724718,LOC102724718,0.0197421,-0.968006
102725408,LOC102725408,0.00914803,-0.726208
10316,NMUR1,0.0150405,-0.529568
103344718,HOTS,0.04649,-0.546282
