id,type,UniprotID,Entrez_ID
IP6K2,Gene,Q9UHH9,51447.0
PIK3R2,Gene,O00459,5296.0
STAT5B,Gene,P51692,6777.0
GPR4,Gene,P46093,2828.0
MAP3K7,Gene,O43318,6885.0
H2BC14,Gene,Q99879,8342.0
PELI1,Gene,Q96FA3,57162.0
CSF3R,Gene,Q99062,1441.0
CEBPD,Gene,P49716,1052.0
GNG8,Gene,Q9UK08,94235.0
IL9R,Gene,Q01113,3581.0
GNG2,Gene,P59768,54331.0
TNFRSF12A,Gene,Q9NP84,51330.0
PIN1,Gene,Q13526,5300.0
IL1RL1,Gene,Q01638,9173.0
IL1RL1,Gene,Q01638-2,
RELA,Gene,Q04206,5970.0
H2AC7,Gene,P20671,3013.0
RAD21,Gene,O60216,5885.0
ITGB1,Gene,P05556,3688.0
FOS,Gene,P01100,2353.0
CREB1,Gene,P16220-1,
SRC,Gene,P12931,6714.0
TNFSF13,Gene,O75888,8741.0
TACR3,Gene,P29371,6870.0
CTF1,Gene,Q16619,1489.0
JUNB,Gene,P17275,3726.0
OPRD1,Gene,P41143,4985.0
SH2B1,Gene,Q9NRF2-2,
CSF2,Gene,P04141,1437.0
XAF1,Gene,Q6GPH4,54739.0
TGFA,Gene,P01135,7039.0
GH2,Gene,P01242,2689.0
TOLLIP,Gene,Q9H0E2,54472.0
MAPK1,Gene,P28482,5594.0
USP18,Gene,Q9UMW8,11274.0
GNGT2,Gene,O14610,2793.0
CBFB,Gene,Q13951,865.0
POLR2C,Gene,P19387,5432.0
IL22RA2,Gene,Q969J5,116379.0
HLA-DRB1,Gene,P01911,3123.0
IL20,Gene,Q9NYY1,50604.0
NFKBIA,Gene,P25963,4792.0
KPNB1,Gene,Q14974,3837.0
PPARD,Gene,,
STX4,Gene,Q12846,6810.0
PSMA4,Gene,P25789,5685.0
FLT3,Gene,P36888,2322.0
PPP2CA,Gene,P67775,5515.0
UBE2E1,Gene,P51965,7324.0
H2BC1,Gene,Q96A08,255626.0
GBP1,Gene,P32455,2633.0
LTA,Gene,P01374,4049.0
KRAS,Gene,P01116,3845.0
KRAS,Gene,P01116-2,
KRAS,Gene,P01116-1,
HDAC1,Gene,Q13547,3065.0
