source,target
CCKBR,0
GAST,0
PRKCA,0
MMP3,0
HBEGF,0
EGFR,0
SOS1,0
GRB2,0
KRAS,0
NRAS,0
KRAS,0
HRAS,0
RPS6KA3,0
RPS6KA1,0
RPS6KA2,0
CREB1,0
MAPK1,0
MAPK7,0
MAPK3,0
GNA11,0
GNA15,0
GNAQ,0
GNA14,0
BTK,0
GNB2,0
GNB4,0
GNB5,0
GNB3,0
GNB1,0
GNG8,0
GNGT2,0
GNGT1,0
GNG7,0
GNG13,0
GNG3,0
GNG10,0
GNG11,0
GNG4,0
GNG5,0
GNG12,0
GNG2,0
GRK5,0
RGSL1,0
RGS21,0
RGS2,0
RGS3,0
RGS19,0
RGS18,0
PRKCH,0
PRKCD,0
PRKCQ,0
PRKCE,0
DAGLA,0
DAGLB,0
ABHD6,0
ABHD12,0
MGLL,0
DGKD,0
DGKK,0
DGKI,0
DGKG,0
DGKQ,0
DGKH,0
DGKZ,0
DGKE,0
DGKB,0
DGKA,0
ITPR1,0
ITPR3,0
ITPR2,0
TRPC3,0
TRPC7,0
TRPC6,0
RASGRP2,0
RASGRP1,0
CYSLTR1,0
CYSLTR2,0
F2,0
F2RL2,0
F2RL3,0
F2R,0
F2RL1,0
LPAR6,0
PMCH,0
MCHR2,0
MCHR1,0
NPFF,0
NPFFR1,0
NPFFR2,0
GNRH1,0
GNRH2,0
GNRHR,0
TACR1,0
TAC1,0
FPR2,0
APP,0
CCL23,0
SAA1,0
ANXA1,0
MT-RNR2,0
NMUR1,0
NMUR2,0
NMU,0
HCRT,0
HCRTR2,0
P2RY2,0
P2RY6,0
NMS,0
EDN1,0
EDN3,0
EDN2,0
EDNRA,0
EDNRB,0
GPR4,0
GPR65,0
GPR68,0
GPR132,0
HCRTR1,0
NTSR1,0
NTSR2,0
NTS,0
PROKR1,0
PROKR2,0
PROK2,0
PROK1,0
NMB,0
GRP,0
BRS3,0
GRPR,0
NMBR,0
UTS2R,0
UTS2,0
UTS2B,0
TRH,0
TRHR,0
LTB4R2,0
LTB4R,0
BDKRB1,0
BDKRB2,0
KNG1,0
GHSR,0
GHRL,0
CCKAR,0
CCK,0
NPS,0
NPSR1,0
P2RY11,0
GCG,0
GCGR,0
MLNR,0
MLN,0
FFAR1,0
PTAFR,0
HTR2C,0
HTR2B,0
HTR2A,0
LPAR3,0
LPAR2,0
LPAR5,0
LPAR1,0
KISS1,0
KISS1R,0
QRFP,0
QRFPR,0
GPR39,0
FFAR4,0
FFAR3,0
AVPR1A,0
AVPR1B,0
AVP,0
CHRM1,0
CHRM5,0
CHRM3,0
GNRHR2,0
OXTR,0
OXT,0
TAC3,0
TACR3,0
FFAR2,0
GPR17,0
GRM1,0
GRM5,0
P2RY1,0
OPN4,0
CASR,0
HRH1,0
LPAR4,0
GPR143,0
P2RY10,0
XCR1,0
XCL2,0
XCL1,0
ADRA1B,0
ADRA1A,0
ADRA1D,0
TBXA2R,0
TACR2,0
GPRC6A,0
PTGER1,0
AGTR1,0
AGT,0
PTGFR,0
TRIO,0
ARHGEF25,0
KALRN,0
PLCB4,0
PLCB3,0
PLCB1,0
PLCB2,0
RGS1,0
RGS4,0
RGS5,0
RGS13,0
RGS16,0
RGS17,0
GRK2,0
PIK3CA,0
PIK3R3,0
PIK3R2,0
PIK3R1,0
GNAS,1
GNAS,1
PDE1A,1
PDE1B,1
PDE2A,1
PDE11A,1
PDE10A,1
PDE4C,1
PDE4D,1
PDE4A,1
PDE7B,1
PDE7A,1
PDE8B,1
PDE8A,1
SRC,1
PDE3A,1
POMC,1
MC1R,1
MC3R,1
MC5R,1
MC4R,1
MC2R,1
PTGIR,1
ADRB2,1
DRD1,1
DRD5,1
HTR4,1
HTR7,1
HTR6,1
PTGER2,1
PTGER4,1
ADRB1,1
IAPP,1
CALCR,1
RAMP1,1
RAMP3,1
RAMP2,1
SCTR,1
SCT,1
VIP,1
VIPR2,1
VIPR1,1
GCG,1
GLP2R,1
NPS,1
NPSR1,1
GPBAR1,1
P2RY11,1
GCGR,1
ADORA2A,1
ADORA2B,1
TAAR5,1
TAAR3P,1
TAAR9,1
TAAR8,1
TAAR6,1
TAAR2,1
TAAR1,1
GHRH,1
GHRHR,1
HRH2,1
RXFP1,1
RLN3,1
RLN2,1
ADRB3,1
PTGDR,1
GLP1R,1
INSL3,1
RXFP2,1
GPR39,1
CALCRL,1
ADM2,1
ADM,1
PTH1R,1
PTH2R,1
PTHLH,1
PTH2,1
PTH,1
CRH,1
CRHR1,1
CRHR2,1
GPR15,1
GPR25,1
GPR20,1
GPR150,1
GPR84,1
GPR83,1
GPR32,1
GPR45,1
GPR27,1
GPR176,1
CALCA,1
CGA,1
TSHB,1
GPHB5,1
GPHA2,1
TSHR,1
CALCB,1
CALCA,1
GIPR,1
GIP,1
LHCGR,1
LHB,1
ADCYAP1,1
ADCYAP1R1,1
AVPR2,1
AVP,1
FSHR,1
FSHB,1
GNB2,1
GNB4,1
GNB5,1
GNB3,1
GNB1,1
GNG8,1
GNGT2,1
GNGT1,1
GNG7,1
GNG13,1
GNG3,1
GNG10,1
GNG11,1
GNG4,1
GNG5,1
GNG12,1
GNG2,1
CYSLTR2,1
GRK5,1
GRK6,1
GRK3,1
GRK2,1
PDE3B,1
ADCY7,1
ADCY6,1
ADCY2,1
ADCY9,1
