source,target
CYTOKINE SIGNALING,CSF1R
CYTOKINE SIGNALING,IL34
CYTOKINE SIGNALING,CSF1
CYTOKINE SIGNALING,CBL
CYTOKINE SIGNALING,FYN
CYTOKINE SIGNALING,YES1
CYTOKINE SIGNALING,HCK
CYTOKINE SIGNALING,SRC
CYTOKINE SIGNALING,SOS1
CYTOKINE SIGNALING,GRB2
CYTOKINE SIGNALING,PTPN11
CYTOKINE SIGNALING,GAB2
CYTOKINE SIGNALING,GAB3
CYTOKINE SIGNALING,INPPL1
CYTOKINE SIGNALING,PIK3CA
CYTOKINE SIGNALING,PIK3R1
CYTOKINE SIGNALING,PIK3CB
CYTOKINE SIGNALING,PIK3CD
CYTOKINE SIGNALING,PLCG2
CYTOKINE SIGNALING,THOC5
CYTOKINE SIGNALING,LYN
CYTOKINE SIGNALING,INPP5D
CYTOKINE SIGNALING,SHC1
CYTOKINE SIGNALING,GRAP2
CYTOKINE SIGNALING,STAT3
CYTOKINE SIGNALING,STAT1
CYTOKINE SIGNALING,UBC
CYTOKINE SIGNALING,UBB
CYTOKINE SIGNALING,UBA52
CYTOKINE SIGNALING,RPS27A
CYTOKINE SIGNALING,KRAS
CYTOKINE SIGNALING,NFKB1
CYTOKINE SIGNALING,MAP3K8
CYTOKINE SIGNALING,TNIP2
CYTOKINE SIGNALING,IKBKB
CYTOKINE SIGNALING,CHUK
CYTOKINE SIGNALING,IKBKG
CYTOKINE SIGNALING,MAP2K4
CYTOKINE SIGNALING,MAP2K1
CYTOKINE SIGNALING,SKP1
CYTOKINE SIGNALING,CUL1
CYTOKINE SIGNALING,FBXW11
CYTOKINE SIGNALING,BTRC
CYTOKINE SIGNALING,PPP2R5D
CYTOKINE SIGNALING,PPP2CB
CYTOKINE SIGNALING,PPP2CA
CYTOKINE SIGNALING,PPP2R1A
CYTOKINE SIGNALING,PPP2R1B
CYTOKINE SIGNALING,MAPK1
CYTOKINE SIGNALING,MAPK7
CYTOKINE SIGNALING,MAPK3
CYTOKINE SIGNALING,RPS6KA5
CYTOKINE SIGNALING,ELK1
CYTOKINE SIGNALING,RPS6KA2
CYTOKINE SIGNALING,RPS6KA1
CYTOKINE SIGNALING,RPS6KA3
CYTOKINE SIGNALING,MEF2C
CYTOKINE SIGNALING,MEF2A
CYTOKINE SIGNALING,DUSP4
CYTOKINE SIGNALING,DUSP3
CYTOKINE SIGNALING,DUSP6
CYTOKINE SIGNALING,DUSP7
CYTOKINE SIGNALING,VRK3
CYTOKINE SIGNALING,MAPK14
CYTOKINE SIGNALING,MAPK11
CYTOKINE SIGNALING,CREB1
CYTOKINE SIGNALING,ATF1
CYTOKINE SIGNALING,MAPKAPK2
CYTOKINE SIGNALING,JUN
CYTOKINE SIGNALING,FOS
CYTOKINE SIGNALING,MAPK10
CYTOKINE SIGNALING,MAPK9
CYTOKINE SIGNALING,MAPK8
CYTOKINE SIGNALING,ATF2
CYTOKINE SIGNALING,MAPKAPK3
CYTOKINE SIGNALING,MAP2K3
CYTOKINE SIGNALING,MAP2K6
CYTOKINE SIGNALING,TAB1
CYTOKINE SIGNALING,TAB2
CYTOKINE SIGNALING,TAB3
CYTOKINE SIGNALING,MAP3K7
CYTOKINE SIGNALING,NOD2
CYTOKINE SIGNALING,NOD1
CYTOKINE SIGNALING,RIPK2
CYTOKINE SIGNALING,TRAF6
CYTOKINE SIGNALING,IRAK2
CYTOKINE SIGNALING,IRAK1
CYTOKINE SIGNALING,UBE2N
CYTOKINE SIGNALING,UBE2V1
CYTOKINE SIGNALING,MAP2K7
CYTOKINE SIGNALING,IL17RA
CYTOKINE SIGNALING,IL25
CYTOKINE SIGNALING,IL17RB
CYTOKINE SIGNALING,IL17C
CYTOKINE SIGNALING,IL17RE
CYTOKINE SIGNALING,IL17A
CYTOKINE SIGNALING,IL17F
CYTOKINE SIGNALING,IL17RC
CYTOKINE SIGNALING,8
CYTOKINE SIGNALING,CRLF1
CYTOKINE SIGNALING,IL27
CYTOKINE SIGNALING,IL6ST
CYTOKINE SIGNALING,TYK2
CYTOKINE SIGNALING,JAK1
CYTOKINE SIGNALING,JAK2
CYTOKINE SIGNALING,IL27RA
CYTOKINE SIGNALING,EBI3
CYTOKINE SIGNALING,CANX
CYTOKINE SIGNALING,IL12RB1
CYTOKINE SIGNALING,BOLA2
CYTOKINE SIGNALING,STAT4
CYTOKINE SIGNALING,MSN
CYTOKINE SIGNALING,MIF
CYTOKINE SIGNALING,SOD2
CYTOKINE SIGNALING,HNRNPF
CYTOKINE SIGNALING,PDCD4
CYTOKINE SIGNALING,PITPNA
CYTOKINE SIGNALING,RALA
CYTOKINE SIGNALING,LMNB1
CYTOKINE SIGNALING,LCP1
CYTOKINE SIGNALING,HNRNPDL
CYTOKINE SIGNALING,ARF1
CYTOKINE SIGNALING,MTAP
CYTOKINE SIGNALING,IFNG
CYTOKINE SIGNALING,CA1
CYTOKINE SIGNALING,GSTO1
CYTOKINE SIGNALING,TALDO1
CYTOKINE SIGNALING,SNRPA1
CYTOKINE SIGNALING,ANXA2
CYTOKINE SIGNALING,IL10
CYTOKINE SIGNALING,RAP1B
CYTOKINE SIGNALING,HNRNPA2B1
CYTOKINE SIGNALING,CAPZA1
CYTOKINE SIGNALING,CNN2
CYTOKINE SIGNALING,CDC42
CYTOKINE SIGNALING,PAK2
CYTOKINE SIGNALING,SERPINB2
CYTOKINE SIGNALING,PPIA
CYTOKINE SIGNALING,AIP
CYTOKINE SIGNALING,GSTA2
CYTOKINE SIGNALING,TCP1
CYTOKINE SIGNALING,RPLP0
CYTOKINE SIGNALING,SOD1
CYTOKINE SIGNALING,PSME2
CYTOKINE SIGNALING,CFL1
CYTOKINE SIGNALING,HSPA9
CYTOKINE SIGNALING,IL12B
CYTOKINE SIGNALING,IL12A
CYTOKINE SIGNALING,VAMP7
CYTOKINE SIGNALING,IL12RB2
CYTOKINE SIGNALING,P4HB
CYTOKINE SIGNALING,IL23A
CYTOKINE SIGNALING,IL23R
CYTOKINE SIGNALING,IL5
CYTOKINE SIGNALING,IL5RA
CYTOKINE SIGNALING,SYK
CYTOKINE SIGNALING,PIK3R3
CYTOKINE SIGNALING,PIK3R2
CYTOKINE SIGNALING,CRKL
CYTOKINE SIGNALING,CRK
CYTOKINE SIGNALING,RAPGEF1
CYTOKINE SIGNALING,BLNK
CYTOKINE SIGNALING,VAV1
CYTOKINE SIGNALING,CSF2RB
CYTOKINE SIGNALING,IL3
CYTOKINE SIGNALING,IL3RA
CYTOKINE SIGNALING,CSF2RA
CYTOKINE SIGNALING,CSF2
CYTOKINE SIGNALING,PTPN6
CYTOKINE SIGNALING,YWHAZ
CYTOKINE SIGNALING,STAT5B
CYTOKINE SIGNALING,STAT5A
CYTOKINE SIGNALING,TEC
CYTOKINE SIGNALING,PRKACA
CYTOKINE SIGNALING,JAK3
CYTOKINE SIGNALING,IL2RG
CYTOKINE SIGNALING,IL2RA
CYTOKINE SIGNALING,IL2RB
CYTOKINE SIGNALING,IL2
CYTOKINE SIGNALING,PRTN3
CYTOKINE SIGNALING,IL32
CYTOKINE SIGNALING,TXLNA
CYTOKINE SIGNALING,STX3
CYTOKINE SIGNALING,PTPRZ1
CYTOKINE SIGNALING,IL16
CYTOKINE SIGNALING,IFNL1
CYTOKINE SIGNALING,IFNLR1
CYTOKINE SIGNALING,IL10RB
CYTOKINE SIGNALING,STX4
CYTOKINE SIGNALING,CSF3R
CYTOKINE SIGNALING,CSF3
CYTOKINE SIGNALING,CASP3
CYTOKINE SIGNALING,CD4
CYTOKINE SIGNALING,SDC1
CYTOKINE SIGNALING,STX1A
CYTOKINE SIGNALING,VAMP2
CYTOKINE SIGNALING,SNAP25
CYTOKINE SIGNALING,STXBP2
CYTOKINE SIGNALING,IL1RAPL1
CYTOKINE SIGNALING,IL1F10
CYTOKINE SIGNALING,IL1RL2
CYTOKINE SIGNALING,IL18R1
CYTOKINE SIGNALING,IL18
CYTOKINE SIGNALING,IL18BP
CYTOKINE SIGNALING,ALOX5
CYTOKINE SIGNALING,IL4
CYTOKINE SIGNALING,IL13
CYTOKINE SIGNALING,IL18RAP
CYTOKINE SIGNALING,IL37
CYTOKINE SIGNALING,IL1B
CYTOKINE SIGNALING,IL1A
CYTOKINE SIGNALING,IL1R1
CYTOKINE SIGNALING,IRAK4
CYTOKINE SIGNALING,IL1RAP
CYTOKINE SIGNALING,MYD88
CYTOKINE SIGNALING,NFKBIA
CYTOKINE SIGNALING,IL1R2
CYTOKINE SIGNALING,IL1RN
CYTOKINE SIGNALING,N
CYTOKINE SIGNALING,TOLLIP
CYTOKINE SIGNALING,PELI3
CYTOKINE SIGNALING,PELI1
CYTOKINE SIGNALING,PELI2
CYTOKINE SIGNALING,IRAK3
CYTOKINE SIGNALING,RELA
CYTOKINE SIGNALING,PSMD8
CYTOKINE SIGNALING,PSMD6
CYTOKINE SIGNALING,SEM1
CYTOKINE SIGNALING,PSMD3
CYTOKINE SIGNALING,PSMD11
CYTOKINE SIGNALING,PSMD14
CYTOKINE SIGNALING,PSMD7
CYTOKINE SIGNALING,PSMD12
CYTOKINE SIGNALING,PSMD13
CYTOKINE SIGNALING,PSMD1
CYTOKINE SIGNALING,ADRM1
CYTOKINE SIGNALING,PSMC3
CYTOKINE SIGNALING,PSMC6
CYTOKINE SIGNALING,PSMC4
CYTOKINE SIGNALING,PSMC5
CYTOKINE SIGNALING,PSMC1
CYTOKINE SIGNALING,PSMC2
CYTOKINE SIGNALING,PSMD2
CYTOKINE SIGNALING,PSMA7
CYTOKINE SIGNALING,PSMA1
CYTOKINE SIGNALING,PSMA2
CYTOKINE SIGNALING,PSMA3
CYTOKINE SIGNALING,PSMA4
CYTOKINE SIGNALING,PSMA5
CYTOKINE SIGNALING,PSMA6
CYTOKINE SIGNALING,PSMB5
CYTOKINE SIGNALING,PSMB1
CYTOKINE SIGNALING,PSMB6
CYTOKINE SIGNALING,PSMB7
CYTOKINE SIGNALING,PSMB2
CYTOKINE SIGNALING,PSMB3
CYTOKINE SIGNALING,PSMB4
CYTOKINE SIGNALING,RBX1
CYTOKINE SIGNALING,NFKB2
CYTOKINE SIGNALING,NFKBIB
CYTOKINE SIGNALING,NKIRAS2
CYTOKINE SIGNALING,NKIRAS1
CYTOKINE SIGNALING,ALPK1
CYTOKINE SIGNALING,TIFA
CYTOKINE SIGNALING,USP18
CYTOKINE SIGNALING,IKBIP
CYTOKINE SIGNALING,LRRC14
CYTOKINE SIGNALING,NLRC5
CYTOKINE SIGNALING,USP14
CYTOKINE SIGNALING,TRAF2
CYTOKINE SIGNALING,N4BP1
CYTOKINE SIGNALING,CASP8
CYTOKINE SIGNALING,TP53
CYTOKINE SIGNALING,NLRX1
CYTOKINE SIGNALING,APP
CYTOKINE SIGNALING,S100A12
CYTOKINE SIGNALING,S100B
CYTOKINE SIGNALING,HMGB1
CYTOKINE SIGNALING,SAA1
CYTOKINE SIGNALING,AGER
CYTOKINE SIGNALING,SQSTM1
CYTOKINE SIGNALING,MAP3K3
CYTOKINE SIGNALING,CTSG
CYTOKINE SIGNALING,CASP1
CYTOKINE SIGNALING,GSDMD
CYTOKINE SIGNALING,IL36B
CYTOKINE SIGNALING,IL36A
CYTOKINE SIGNALING,IL36G
CYTOKINE SIGNALING,IL36RN
CYTOKINE SIGNALING,TBK1
CYTOKINE SIGNALING,SIGIRR
CYTOKINE SIGNALING,SMAD3
CYTOKINE SIGNALING,PTPN12
CYTOKINE SIGNALING,PTPN9
