id,type,UniprotID,Entrez_ID
ADCY1,Gene,Q08828,Q08828
CCR3,Gene,P51677,P51677
RGS9,Gene,O75916,O75916
CCL20,Gene,P78556,P78556
RET,Gene,,
INSL5,Gene,Q9Y5Q6,Q9Y5Q6
NPFFR1,Gene,Q9GZQ6,Q9GZQ6
MCHR2,Gene,Q969V1,Q969V1
ANXA1,Gene,P04083,P04083
PYY,Gene,P10082,P10082
PRKCI,Gene,,
P2RY4,Gene,P51582,P51582
ADRA1D,Gene,P25100,P25100
CYP19A1,Gene,,
OPRM1,Gene,P35372,P35372
HTR1F,Gene,P30939,P30939
KPNA2,Gene,P52292,P52292
TRIM62,Gene,Q9BVG3,Q9BVG3
CAMK2B,Gene,Q13554,Q13554
ADRA2A,Gene,P08913,P08913
MTOR,Gene,,
GPSM1,Gene,Q86YR5,Q86YR5
PMCH,Gene,P20382,P20382
PDYN,Gene,P01213,P01213
F10,Gene,,
ITPR3,Gene,Q14573,Q14573
SST,Gene,P61278,P61278
GSK3A,Gene,,
CCR9,Gene,P51686,P51686
GRM4,Gene,Q14833,Q14833
PDE4D,Gene,Q08499,Q08499
XCL1,Gene,P47992,P47992
ADCY6,Gene,O43306,O43306
MLNR,Gene,O43193,O43193
CCK,Gene,P06307,P06307
PROKR2,Gene,Q8NFJ6,Q8NFJ6
CAMKK2,Gene,Q96RR4,Q96RR4
GBP1,Gene,P32455,P32455
QRFPR,Gene,Q96P65,Q96P65
NMBR,Gene,P28336,P28336
EDNRB,Gene,P24530,P24530
CCL19,Gene,Q99731,Q99731
PIAS1,Gene,O75925,O75925
MAPK14,Gene,,
CCKAR,Gene,P32238,P32238
GNG5,Gene,P63218,P63218
GNA14,Gene,O95837,O95837
GNG3,Gene,P63215,P63215
GPR31,Gene,O00270,O00270
OXT,Gene,P01178,P01178
NMS,Gene,Q5H8A3,Q5H8A3
CDK2,Gene,,
DYRK1A,Gene,,
TRIM17,Gene,Q9Y577,Q9Y577
GNGT2,Gene,O14610,O14610
TAS2R9,Gene,Q9NYW1,Q9NYW1
GNA15,Gene,P30679,P30679
CXCL6,Gene,P80162,P80162
PPARD,Gene,,
RXFP4,Gene,Q8TDU9,Q8TDU9
HCAR1,Gene,Q9BXC0,Q9BXC0
GPR132,Gene,Q9UNW8,Q9UNW8
GRM6,Gene,O15303,O15303
FFAR4,Gene,Q5NUL3,Q5NUL3
EPHX2,Gene,,
CSNK2A1,Gene,,
GPR4,Gene,P46093,P46093
RGS18,Gene,Q9NS28,Q9NS28
DGKH,Gene,Q86XP1,Q86XP1
STAT1,Gene,P42224-1,P42224-1
TAS1R2,Gene,Q8TE23,Q8TE23
OPN1MW,Gene,P04001,P04001
HRH4,Gene,Q9H3N8,Q9H3N8
CXCL11,Gene,O14625,O14625
GNAT1,Gene,P11488,P11488
PDE3A,Gene,,
RASGRP2,Gene,Q7LDG7,Q7LDG7
SRC,Gene,P12931,P12931
JAK1,Gene,P23458,P23458
GNG4,Gene,P50150,P50150
TAS2R40,Gene,P59535,P59535
RGSL1,Gene,A5PLK6,A5PLK6
CIITA,Gene,P33076,P33076
HTR2B,Gene,P41595,P41595
RGS22,Gene,Q8NE09,Q8NE09
GPR55,Gene,Q9Y2T6,Q9Y2T6
GHSR,Gene,Q92847,Q92847
ACKR3,Gene,P25106,P25106
GRM2,Gene,Q14416,Q14416
CCR8,Gene,P51685,P51685
SSTR1,Gene,P30872,P30872
OXER1,Gene,Q8TDS5,Q8TDS5
RGS19,Gene,P49795,P49795
DAGLA,Gene,Q9Y4D2,Q9Y4D2
SAA1,Gene,P0DJI8,P0DJI8
UTS2,Gene,O95399,O95399
TAS2R5,Gene,Q9NYW4,Q9NYW4
GNAT2,Gene,P19087,P19087
CXCL1,Gene,P09341,P09341
PDE1A,Gene,P54750,P54750
HCRTR1,Gene,O43613,O43613
PROK1,Gene,P58294,P58294
AURKB,Gene,,
GRK2,Gene,P25098,P25098
PTPN2,Gene,P17706-2,P17706-2
GPR143,Gene,P51810,P51810
TAS2R31,Gene,P59538,P59538
CA1,Gene,,
PLK1,Gene,,
NEK2,Gene,,
CREB1,Gene,P16220-1,P16220-1
S1PR2,Gene,O95136,O95136
NTRK1,Gene,,
POMC,Gene,P01189,P01189
CYP3A4,Gene,,
CCR2,Gene,P41597,P41597
GPR65,Gene,Q8IYL9,Q8IYL9
ACHE,Gene,,
GNAI3,Gene,P08754,P08754
TAS2R42,Gene,Q7RTR8,Q7RTR8
HLA-DQB2,Gene,P05538,P05538
TRIM45,Gene,Q9H8W5,Q9H8W5
PRKAR1B,Gene,P31321,P31321
FCGR1BP,Gene,Q92637,Q92637
NPS,Gene,P0C0P6,P0C0P6
LPAR3,Gene,Q9UBY5,Q9UBY5
NPW,Gene,Q8N729,Q8N729
ADCY9,Gene,O60503,O60503
PIK3CG,Gene,,
FPR1,Gene,P21462,P21462
GCG,Gene,P01275,P01275
UTS2B,Gene,Q765I0,Q765I0
TRIM46,Gene,Q7Z4K8,Q7Z4K8
IFNGR1,Gene,P15260,P15260
GNGT1,Gene,P63211,P63211
GNG7,Gene,O60262,O60262
NPBWR1,Gene,P48145,P48145
GRPR,Gene,P30550,P30550
CAMK4,Gene,Q16566,Q16566
MT-RNR2,Gene,Q8IVG9,Q8IVG9
F2,Gene,P00734,P00734
TRIM68,Gene,Q6AZZ1,Q6AZZ1
ADRA2B,Gene,P18089,P18089
VCAM1,Gene,P19320,P19320
GCGR,Gene,P47871,P47871
LPAR4,Gene,Q99677,Q99677
PDE4B,Gene,Q07343-3,Q07343-3
TBXA2R,Gene,P21731,P21731
CCL16,Gene,O15467,O15467
PTGFR,Gene,P43088,P43088
CTSD,Gene,,
PDE5A,Gene,,
B2M,Gene,P61769,P61769
F2RL1,Gene,P55085,P55085
SP100,Gene,P23497,P23497
SSTR3,Gene,P32745,P32745
PIK3R2,Gene,O00459,O00459
RPS6KA2,Gene,Q15349,Q15349
SUMO1,Gene,P63165,P63165
CORT,Gene,O00230,O00230
P2RY10,Gene,O00398,O00398
AR,Gene,,
SLC6A3,Gene,,
NPY2R,Gene,P49146,P49146
PLA2G4A,Gene,P47712,P47712
TRIM48,Gene,Q8IWZ4,Q8IWZ4
GALR2,Gene,O43603,O43603
PML,Gene,P29590,P29590
CYSLTR2,Gene,Q9NS75,Q9NS75
ALOX5,Gene,,
PROKR1,Gene,Q8TCW9,Q8TCW9
GBP7,Gene,Q8N8V2,Q8N8V2
GNAZ,Gene,P19086,P19086
LPAR5,Gene,Q9H1C0,Q9H1C0
ICAM1,Gene,P05362,P05362
PPP2CA,Gene,P67775,P67775
INTERFERON GAMMA SIGNALING,pathway,,
P2RY11,Gene,Q96G91,Q96G91
PRKACA,Gene,P17612,P17612
S1PR4,Gene,O95977,O95977
TRIM21,Gene,P19474,P19474
TRHR,Gene,P34981,P34981
GNG12,Gene,Q9UBI6,Q9UBI6
LPAR2,Gene,Q9HBW0,Q9HBW0
PDE10A,Gene,,
GNG13,Gene,Q9P2W3,Q9P2W3
GNAS,Gene,Q5JWF2,Q5JWF2
GNAS,Gene,P63092,P63092
HLA-B,Gene,P01889,P01889
TAS2R60,Gene,P59551,P59551
PRKACG,Gene,P22612,P22612
BRD4,Gene,,
LPAR6,Gene,P43657,P43657
G ALPHA (I) SIGNALLING EVENTS,pathway,,
GRM3,Gene,Q14832,Q14832
OPN1LW,Gene,P04000,P04000
AHCYL1,Gene,O43865,O43865
LTB4R,Gene,Q15722,Q15722
TRIM38,Gene,O00635,O00635
GNAI2,Gene,P04899,P04899
GNRH1,Gene,P01148,P01148
CXCL9,Gene,Q07325,Q07325
ATM,Gene,,
CAMK2A,Gene,Q9UQM7,Q9UQM7
HCRT,Gene,O43612,O43612
GPR17,Gene,Q13304,Q13304
CCL5,Gene,P13501,P13501
TACR1,Gene,P25103,P25103
RLN3,Gene,Q8WXF3,Q8WXF3
CCL21,Gene,O00585,O00585
GRM1,Gene,Q13255,Q13255
GNAT3,Gene,A8MTJ3,A8MTJ3
RASGRP1,Gene,O95267,O95267
CHRM3,Gene,P20309,P20309
DGKK,Gene,Q5KSL6,Q5KSL6
CAMKK1,Gene,Q8N5S9,Q8N5S9
PAK1,Gene,,
PPP3CA,Gene,Q08209,Q08209
RGS1,Gene,Q08116,Q08116
PDE1C,Gene,Q14123,Q14123
PPP2CB,Gene,P62714,P62714
PPARG,Gene,,
PRKAR2B,Gene,P31323,P31323
HLA-DRB5,Gene,Q30154,Q30154
RGS14,Gene,O43566,O43566
CCR4,Gene,P51679,P51679
HCAR3,Gene,P49019,P49019
RHO,Gene,P08100,P08100
ADCY8,Gene,P40145,P40145
AGTR2,Gene,P50052,P50052
ADCY5,Gene,O95622,O95622
CCL25,Gene,O15444,O15444
ADRA2C,Gene,P18825,P18825
TAS2R7,Gene,Q9NYW3,Q9NYW3
F7,Gene,,
F2RL2,Gene,O00254,O00254
NPY4R,Gene,P50391,P50391
HLA-DPA1,Gene,P20036,P20036
CXCL3,Gene,P19876,P19876
PTPN11,Gene,Q06124,Q06124
OPRD1,Gene,P41143,P41143
NMB,Gene,P08949,P08949
PLCB4,Gene,Q15147,Q15147
FGFR1,Gene,,
MET,Gene,,
CACNA1G,Gene,,
P2RY12,Gene,Q9H244,Q9H244
TRIM10,Gene,Q9UDY6,Q9UDY6
BTK,Gene,Q06187,Q06187
PRKAR2A,Gene,P13861,P13861
IRF5,Gene,Q13568,Q13568
GRB2,Gene,P62993-1,P62993-1
TAC3,Gene,Q9UHF0,Q9UHF0
ADRA1B,Gene,P35368,P35368
MAPK7,Gene,Q13164,Q13164
CCR7,Gene,P32248,P32248
GRK5,Gene,P34947,P34947
KISS1R,Gene,Q969F8,Q969F8
LCK,Gene,,
MCHR1,Gene,Q99705,Q99705
TRIM29,Gene,Q14134,Q14134
GALR1,Gene,P47211,P47211
TRIM26,Gene,Q12899,Q12899
P2RY2,Gene,P41231,P41231
LPAR1,Gene,Q92633,Q92633
RGR,Gene,P47804,P47804
CXCL2,Gene,P19875,P19875
NMUR1,Gene,Q9HB89,Q9HB89
TAS2R4,Gene,Q9NYW5,Q9NYW5
OPN3,Gene,Q9H1Y3,Q9H1Y3
MTNR1B,Gene,P49286,P49286
GPR183,Gene,P32249,P32249
GPSM2,Gene,P81274,P81274
NPFFR2,Gene,Q9Y5X5,Q9Y5X5
GNAQ,Gene,P50148,P50148
ARHGEF25,Gene,Q86VW2,Q86VW2
MTNR1A,Gene,P48039,P48039
TAS2R1,Gene,Q9NYW7,Q9NYW7
HLA-DPB1,Gene,P04440,P04440
UTS2R,Gene,Q9UKP6,Q9UKP6
IDH1,Gene,,
C3,Gene,P01024,P01024
HLA-DRB1,Gene,P01911,P01911
TAS1R3,Gene,Q7RTX0,Q7RTX0
AGTR1,Gene,P30556,P30556
AGT,Gene,P01019,P01019
ITPR1,Gene,Q14643,Q14643
ADCY4,Gene,Q8NFM4,Q8NFM4
PPP2R1B,Gene,P30154,P30154
PIK3R1,Gene,P27986,P27986
PDE2A,Gene,,
PNOC,Gene,Q13519,Q13519
RGS10,Gene,O43665,O43665
