#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.588	0.064	0.110	0	0.695	0.724
ABL1	AURKA	9606.ENSP00000361423	9606.ENSP00000216911	0	0	0	0.626	0	0.067	0	0.470	0.484
ABL1	MAPK14	9606.ENSP00000361423	9606.ENSP00000229795	0	0	0	0.621	0.090	0.110	0.500	0.205	0.635
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.600	0.095	0.215	0	0.346	0.495
ABL1	BRD4	9606.ENSP00000361423	9606.ENSP00000263377	0	0	0	0	0.072	0	0	0.448	0.466
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	CDK2	9606.ENSP00000361423	9606.ENSP00000266970	0	0	0	0.653	0.087	0.098	0	0.474	0.530
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0.774	0.988
ABL1	PRKDC	9606.ENSP00000361423	9606.ENSP00000313420	0	0	0	0	0.048	0.315	0	0.721	0.802
ABL1	GSK3B	9606.ENSP00000361423	9606.ENSP00000324806	0	0	0	0.566	0.049	0	0	0.497	0.501
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0.080	0.788	0	0.922	0.983
ABL1	ATR	9606.ENSP00000361423	9606.ENSP00000343741	0	0	0	0	0	0.317	0	0.310	0.509
ABL1	MTOR	9606.ENSP00000361423	9606.ENSP00000354558	0	0	0	0	0.067	0.315	0	0.557	0.692
ABL1	PIK3CD	9606.ENSP00000361423	9606.ENSP00000366563	0	0	0	0	0	0.069	0	0.385	0.403
ABL1	LCK	9606.ENSP00000361423	9606.ENSP00000477713	0	0	0.060	0.882	0.060	0	0	0.427	0.449
ABL1	MAPK8	9606.ENSP00000361423	9606.ENSP00000378974	0	0	0	0.581	0.044	0.088	0	0.445	0.473
ABL1	JAK1	9606.ENSP00000361423	9606.ENSP00000499900	0	0	0	0.574	0.064	0.292	0	0.280	0.482
ABL1	AR	9606.ENSP00000361423	9606.ENSP00000363822	0	0	0	0	0.042	0.178	0	0.428	0.511
ABL1	ESR1	9606.ENSP00000361423	9606.ENSP00000405330	0	0	0	0	0	0.071	0	0.528	0.543
ABL1	PTPN11	9606.ENSP00000361423	9606.ENSP00000489597	0	0	0	0.556	0.063	0.097	0	0.568	0.603
ABL1	ALOX5	9606.ENSP00000361423	9606.ENSP00000363512	0	0	0	0	0.083	0.066	0	0.575	0.605
ABL1	IDH1	9606.ENSP00000361423	9606.ENSP00000390265	0	0	0	0	0	0	0	0.614	0.614
ABL1	SRC	9606.ENSP00000361423	9606.ENSP00000362680	0	0	0.078	0.877	0.107	0.591	0	0.161	0.680
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.642	0	0.510	0.900	0.212	0.958
ACE	MAPK1	9606.ENSP00000290866	9606.ENSP00000215832	0	0	0	0	0	0	0	0.535	0.535
ACE	MAPK14	9606.ENSP00000290866	9606.ENSP00000229795	0	0	0	0	0	0	0	0.571	0.571
ACE	CTSD	9606.ENSP00000290866	9606.ENSP00000236671	0	0	0	0	0.048	0	0	0.644	0.647
ACE	CYP2C9	9606.ENSP00000290866	9606.ENSP00000260682	0	0	0	0	0	0	0	0.462	0.462
ACE	SLC6A4	9606.ENSP00000290866	9606.ENSP00000261707	0	0	0	0	0.049	0.045	0	0.400	0.407
ACE	MAPK3	9606.ENSP00000290866	9606.ENSP00000263025	0	0	0	0	0	0	0	0.447	0.447
ACE	KDR	9606.ENSP00000290866	9606.ENSP00000263923	0	0	0	0	0.060	0	0	0.512	0.521
ACE	BCHE	9606.ENSP00000290866	9606.ENSP00000264381	0	0	0	0	0	0	0	0.489	0.489
ACE	KLKB1	9606.ENSP00000290866	9606.ENSP00000264690	0	0	0	0	0	0	0	0.529	0.529
ACE	EGFR	9606.ENSP00000290866	9606.ENSP00000275493	0	0	0	0	0	0	0	0.419	0.419
ACE	PPARG	9606.ENSP00000290866	9606.ENSP00000287820	0	0	0	0	0.054	0	0	0.669	0.674
ACE	F7	9606.ENSP00000290866	9606.ENSP00000364731	0	0	0	0	0	0	0	0.406	0.406
ACE	MTOR	9606.ENSP00000290866	9606.ENSP00000354558	0	0	0	0	0	0	0	0.436	0.436
ACE	CYP2C19	9606.ENSP00000290866	9606.ENSP00000360372	0	0	0	0	0	0	0	0.452	0.452
ACE	MAOA	9606.ENSP00000290866	9606.ENSP00000340684	0	0	0	0	0.057	0	0	0.494	0.503
ACE	ESR1	9606.ENSP00000290866	9606.ENSP00000405330	0	0	0	0	0.042	0	0	0.506	0.507
ACE	HSP90AA1	9606.ENSP00000290866	9606.ENSP00000335153	0	0	0	0	0	0	0	0.509	0.509
ACE	CYP3A4	9606.ENSP00000290866	9606.ENSP00000498939	0	0	0	0	0.082	0	0	0.515	0.535
ACE	PPARA	9606.ENSP00000290866	9606.ENSP00000385523	0	0	0	0	0.042	0	0	0.539	0.539
ACE	PDE5A	9606.ENSP00000290866	9606.ENSP00000347046	0	0	0	0	0	0	0	0.571	0.571
ACE	F2	9606.ENSP00000290866	9606.ENSP00000308541	0	0	0	0	0	0	0	0.640	0.640
ACE	KLK1	9606.ENSP00000290866	9606.ENSP00000301420	0	0	0	0	0.042	0	0	0.674	0.674
ACE	ACHE	9606.ENSP00000290866	9606.ENSP00000303211	0	0	0	0	0.063	0	0	0.727	0.733
ACHE	SLC6A3	9606.ENSP00000303211	9606.ENSP00000270349	0	0	0	0	0	0	0	0.447	0.447
ACHE	EGFR	9606.ENSP00000303211	9606.ENSP00000275493	0	0	0	0	0	0	0	0.506	0.506
ACHE	PPARG	9606.ENSP00000303211	9606.ENSP00000287820	0	0	0	0	0	0	0	0.400	0.400
ACHE	CYP3A4	9606.ENSP00000303211	9606.ENSP00000498939	0	0.021	0	0	0	0	0	0.410	0.410
ACHE	DRD2	9606.ENSP00000303211	9606.ENSP00000354859	0	0	0	0	0.072	0	0	0.408	0.427
ACHE	CHRM2	9606.ENSP00000303211	9606.ENSP00000399745	0	0	0	0	0.098	0	0	0.397	0.433
ACHE	CHRNA7	9606.ENSP00000303211	9606.ENSP00000407546	0	0	0	0	0.091	0	0	0.422	0.453
ACHE	GSK3B	9606.ENSP00000303211	9606.ENSP00000324806	0	0	0	0	0	0.051	0	0.512	0.517
ACHE	CA1	9606.ENSP00000303211	9606.ENSP00000430656	0	0	0	0	0.056	0	0	0.546	0.553
